m,n,k,avg
0,2130,687,425,0.0378098
0,32,2916,1998,0.0348055
0,3703,294,556,0.0324671
0,2785,3703,1212,0.671326
0,425,2130,2130,0.119125
0,950,425,3441,0.0939559
0,819,1343,2261,0.153563
0,294,1998,1081,0.0427051
0,163,32,2261,0.00191293
0,163,1343,32,0.00121637
0,556,556,163,0.00344618
0,950,294,294,0.00616865
0,32,425,3309,0.00742548
0,425,163,1212,0.00622223
0,1605,32,819,0.0070066
0,819,687,1343,0.0445034
0,1998,1867,163,0.0352831
0,294,2654,32,0.0032964
0,2261,294,819,0.0348446
0,2654,1605,1474,0.365633
0,163,2261,1081,0.0242815
0,3834,687,163,0.025273
0,2130,163,1867,0.0380506
0,2523,1212,425,0.0845554
0,3703,819,1212,0.200296
0,3178,687,163,0.018764
0,3572,3834,32,0.0353618
0,2392,32,3703,0.0323962
0,950,2261,2916,0.368618
0,4096,1343,32,0.0160352
0,294,1212,3703,0.0840746
0,687,3572,819,0.133709
0,163,1605,2654,0.0603581
0,556,3178,1867,0.18479
0,32,1998,1605,0.0237489
0,425,950,1736,0.0503048
0,3441,294,425,0.0359686
0,1605,556,425,0.0245046
0,819,163,2261,0.0295049
0,1998,294,556,0.0237158
0,1081,425,1474,0.0432457
0,294,3178,687,0.0347342
0,3965,2654,294,0.138751
0,2654,1343,2523,0.520596
0,2261,1867,163,0.0378276
0,1474,163,3572,0.0595106
0,2654,32,32,0.000878203
0,1605,32,2130,0.0190996
0,3309,294,556,0.0400247
0,163,1867,3441,0.0688228
0,32,3965,2785,0.0476843
0,4096,32,2261,0.0404712
0,2785,3441,32,0.0252983
0,3441,2916,1736,1.03738
0,425,2392,3572,0.184694
0,819,2392,1474,0.184119
0,294,1736,2523,0.0766983
0,687,687,1867,0.0526957
0,163,1081,1474,0.0177227
0,556,819,819,0.0227284
0,1343,2523,163,0.033727
0,32,687,2130,0.00737989
0,1736,1474,32,0.0104575
0,32,1474,425,0.00578062
0,425,425,3965,0.0472458
0,2392,1998,556,0.158344
0,2392,556,1867,0.162615
0,3441,163,3178,0.115943
0,2654,1867,3703,1.03235
0,1867,1998,32,0.00902897
0,1474,1736,2130,0.315873
0,163,3047,163,0.00546017
0,3047,294,819,0.0417533
0,2130,425,687,0.0439138
0,3309,556,2130,0.222923
0,2916,2523,425,0.194823
0,32,2654,1212,0.019803
0,3703,32,294,0.00467701
0,3572,687,1343,0.212785
0,1081,1867,3572,0.421536
0,819,3965,32,0.0126963
0,163,294,2523,0.00782055
0,556,3441,425,0.0487878
0,950,32,32,0.000256591
0,32,163,3572,0.00293143
0,950,1867,2523,0.288118
0,1212,3178,687,0.150039
0,1605,819,556,0.0396214
0,2785,163,2261,0.0633751
0,2392,2523,950,0.322197
0,2261,1605,1081,0.229751
0,1474,425,1605,0.0635892
0,1867,1474,1474,0.238417
