nnodes,ppn,nthreads,order,ndirsets,ngroupsets,nzonesetsx,nzonesetsy,nzonesetsz,ngroups,ndirections,nx,ny,nz,legendre_order,solver,k1,k2,k3,k4,k5,k6,k7,k8,k9
0,1,32,2,4,64,16,1,1,1,32,128,32,32,32,4,1,0.0993396,2.62502,4.1956,0.944278,1.8344,27.3026,0.00101657,17.5305,2.47091
0,1,64,2,4,64,4,1,1,1,16,64,32,32,32,1,0,0.0645393,0.0678467,0.104292,0.040556,0.0309907,0.667076,0.000493644,0.389486,0.304487
0,1,32,2,4,56,8,1,1,1,8,112,32,32,32,1,1,0.0497762,0.244333,0.278625,0.199004,0.0301755,3.23426,0.000543732,2.44868,0.717026
0,1,8,8,5,56,4,1,1,1,24,56,32,32,32,0,0,0.0444538,0.0806443,0.102392,0.124001,0.0432613,1.46758,0.000529727,0.953462,0.814436
0,1,64,1,3,40,2,1,1,1,32,40,32,32,32,3,1,0.0512039,0.227307,0.647007,0.208108,0.424488,2.13035,0.000549153,0.563511,0.318778
0,1,32,4,4,32,32,1,1,1,32,96,32,32,32,4,1,0.0912478,2.40771,3.39449,0.436568,1.7312,21.0017,0.00113278,12.8896,1.56492
0,1,4,16,3,32,1,1,1,1,16,64,32,32,32,0,0,0.0704461,0.0502426,0.0327469,0.0900709,0.020248,0.631989,0.000658705,0.356059,0.28547
0,1,32,2,3,56,16,1,1,1,80,56,32,32,32,3,0,0.0915234,0.877912,3.08387,0.193755,3.35703,9.8228,0.00146008,2.09883,1.66281
0,1,8,8,3,48,1,1,1,1,16,48,32,32,32,2,1,0.0337563,0.0926526,0.33912,0.156908,0.0886406,1.33274,0.000500961,0.551019,0.247191
0,1,32,2,5,64,1,1,1,1,8,64,32,32,32,1,1,0.0292026,0.0342275,0.0630685,0.03369,0.00951799,0.556045,0.000203241,0.392917,0.258178
0,1,8,8,5,64,2,1,1,1,112,64,32,32,32,3,0,0.134566,1.46925,2.68851,1.14507,5.75776,15.7237,0.00141602,4.2088,2.61161
0,1,64,2,0,56,16,1,1,1,16,112,32,32,32,1,1,0.110839,0.0352488,0.035616,0.486011,0.0235283,5.95429,0.000718523,5.33025,0.479905
0,1,2,32,0,16,8,1,1,1,8,64,32,32,32,1,1,0.0803493,0.0787496,0.0732097,0.0366455,0.0709299,2.4538,0.000630202,1.93757,0.679669
0,1,2,64,5,32,1,1,1,1,112,32,32,32,32,3,0,0.18001,0.537242,1.08989,0.167298,4.0442,8.45713,0.0019127,1.48963,1.23625
0,1,16,4,4,32,2,1,1,1,8,32,32,32,32,0,0,0.0255667,0.0106908,0.0121687,0.0194369,0.00354673,0.242333,0.000365046,0.177266,0.151047
0,1,64,2,3,32,4,1,1,1,8,32,32,32,32,0,1,0.0504872,0.0100476,0.00979042,0.0394059,0.00645777,0.27792,0.00136919,0.202756,0.0802831
0,1,32,4,5,64,16,1,1,1,32,128,32,32,32,4,0,0.098602,0.7079,1.16094,0.161447,0.537792,5.2678,0.000760783,2.50896,1.38268
0,1,4,16,3,56,4,1,1,1,24,56,32,32,32,3,0,0.0653314,0.298259,1.08749,0.0726753,0.331687,3.39557,0.00096763,1.23347,1.12128
0,1,32,4,5,64,32,1,1,1,32,64,32,32,32,3,1,0.123723,0.277392,0.522162,1.91883,0.394233,24.2962,0.0010552,21.1045,1.99463
