m,n,k,avg,std
98633,1047,1225,256,0.00093699,0.0243722
98634,1225,1225,256,0.0010479,0.0255465
98635,1432,1225,256,0.00119647,0.0328759
98636,1675,1225,256,0.00137173,0.0344917
98637,1958,1225,256,0.00156665,0.00840274
98638,2290,1225,256,0.00174979,0.0107253
98639,2678,1225,256,0.00198653,0.00857283
98640,3132,1225,256,0.00228769,0.0186711
98641,3663,1225,256,0.00266208,0.0113936
98642,4283,1225,256,0.00299242,0.00364841
98643,5009,1225,256,0.0035091,0.0056627
98644,5858,1225,256,0.00404096,0.00981839
98645,6850,1225,256,0.00464699,0.00543732
98646,8011,1225,256,0.00540609,0.0043772
98647,9368,1225,256,0.00624693,0.0030308
98648,10955,1225,256,0.00715283,0.00295195
98649,12812,1225,256,0.0083647,0.000764233
98650,14982,1225,256,0.00956836,0.00206073
98651,17521,1225,256,0.0111138,0.00212078
98652,20489,1225,256,0.0130361,0.00286395
98653,23961,1225,256,0.0147157,0.00190023
98654,28020,1225,256,0.0169625,0.00252408
98655,32768,1225,256,0.0465766,0.0364533
98656,256,1432,256,0.00037681,0.0674747
98657,299,1432,256,0.000396033,0.0628754
98658,350,1432,256,0.000435789,0.074233
98659,409,1432,256,0.000464644,0.0689193
98660,479,1432,256,0.000537574,0.0537388
98661,560,1432,256,0.000569347,0.0470547
98662,655,1432,256,0.00066138,0.0582168
98663,766,1432,256,0.00071504,0.0459891
98664,895,1432,256,0.000818524,0.0325858
98665,1047,1432,256,0.000897451,0.0279642
98666,1225,1432,256,0.00097539,0.00688309
98667,1432,1432,256,0.00112915,0.00889384
98668,1675,1432,256,0.00122627,0.0225949
98669,1958,1432,256,0.00137949,0.0200132
98670,2290,1432,256,0.00153181,0.0186079
98671,2678,1432,256,0.00173516,0.00899283
98672,3132,1432,256,0.00199361,0.00534988
98673,3663,1432,256,0.00225686,0.0135009
98674,4283,1432,256,0.00258317,0.0252712
98675,5009,1432,256,0.00289007,0.00852596
98676,5858,1432,256,0.00332885,0.00972255
98677,6850,1432,256,0.00385525,0.00481444
98678,8011,1432,256,0.00440754,0.00666548
98679,9368,1432,256,0.00504766,0.00430711
98680,10955,1432,256,0.00615553,0.00676604
98681,12812,1432,256,0.00708323,0.00734119
98682,14982,1432,256,0.00770472,0.0048638
98683,17521,1432,256,0.00886855,0.00387378
98684,20489,1432,256,0.0111871,0.00326838
98685,23961,1432,256,0.0117056,0.00416419
98686,28020,1432,256,0.0135635,0.00372219
98687,32768,1432,256,0.0537338,0.0225615
98688,256,1675,256,0.000422343,0.0504123
98689,299,1675,256,0.000473932,0.0524169
98690,350,1675,256,0.000526572,0.0490978
98691,409,1675,256,0.000558922,0.0477205
98692,479,1675,256,0.00069681,0.0295305
98693,560,1675,256,0.000720583,0.0419598
98694,655,1675,256,0.00084688,0.0224915
98695,766,1675,256,0.000943145,0.00749479
98696,895,1675,256,0.0010886,0.0299502
98697,1047,1675,256,0.00118548,0.0296426
98698,1225,1675,256,0.00131113,0.0369903
98699,1432,1675,256,0.00148457,0.0328127
98700,1675,1675,256,0.00167162,0.014913
98701,1958,1675,256,0.00191767,0.01311
98702,2290,1675,256,0.00215183,0.0180129
98703,2678,1675,256,0.00246781,0.0124417
98704,3132,1675,256,0.0028268,0.00620938
98705,3663,1675,256,0.00322542,0.0125702
98706,4283,1675,256,0.003753,0.00587383
98707,5009,1675,256,0.00434062,0.00698232
98708,5858,1675,256,0.0050103,0.00670812
98709,6850,1675,256,0.00577874,0.00684289
98710,8011,1675,256,0.0067109,0.0033521
98711,9368,1675,256,0.00771602,0.00315286
98712,10955,1675,256,0.00894558,0.00325229
98713,12812,1675,256,0.0103933,0.00257872
98714,14982,1675,256,0.0119454,0.00200484
98715,17521,1675,256,0.0137724,0.00162076
98716,20489,1675,256,0.0163588,0.00174878
98717,23961,1675,256,0.0181717,0.00236264
98718,28020,1675,256,0.0214396,0.00140806
98719,32768,1675,256,0.0613618,0.0293888
98720,256,1958,256,0.000497222,0.0664732
98721,299,1958,256,0.000546495,0.07507
98722,350,1958,256,0.000579921,0.0526735
98723,409,1958,256,0.000612205,0.0536837
98724,479,1958,256,0.000748903,0.126591
98725,560,1958,256,0.000724504,0.0432795
98726,655,1958,256,0.000855412,0.0388879
98727,766,1958,256,0.000916591,0.031832
98728,895,1958,256,0.00103604,0.00700704
98729,1047,1958,256,0.00112419,0.00923688
98730,1225,1958,256,0.001204,0.0171685
98731,1432,1958,256,0.00147005,0.0219792
98732,1675,1958,256,0.00154378,0.015582
98733,1958,1958,256,0.00174387,0.0142671
98734,2290,1958,256,0.00193551,0.00558629
98735,2678,1958,256,0.00221299,0.0117009
98736,3132,1958,256,0.00261268,0.0841001
98737,3663,1958,256,0.00291518,0.00567558
98738,4283,1958,256,0.00328836,0.0180792
98739,5009,1958,256,0.00373193,0.00324011
98740,5858,1958,256,0.00430961,0.00513551
98741,6850,1958,256,0.00489106,0.00603074
98742,8011,1958,256,0.00573833,0.0053057
98743,9368,1958,256,0.0065668,0.00829686
98744,10955,1958,256,0.00761637,0.00997763
98745,12812,1958,256,0.00884948,0.00246998
98746,14982,1958,256,0.0104,0.00492797
98747,17521,1958,256,0.011527,0.00320507
98748,20489,1958,256,0.0141274,0.00702105
98749,23961,1958,256,0.0154011,0.00544749
98750,28020,1958,256,0.0180667,0.00565436
98751,32768,1958,256,0.0770526,0.036854
98752,256,2290,256,0.000545042,0.0521103
98753,299,2290,256,0.000591388,0.0570812
98754,350,2290,256,0.000640934,0.0527138
98755,409,2290,256,0.000667537,0.051799
98756,479,2290,256,0.000807257,0.0341188
98757,560,2290,256,0.00087192,0.103564
98758,655,2290,256,0.000974297,0.0197109
98759,766,2290,256,0.00104337,0.08621
98760,895,2290,256,0.00115329,0.00739403
98761,1047,2290,256,0.00125371,0.0236996
98762,1225,2290,256,0.00133067,0.00920632
98763,1432,2290,256,0.00154773,0.0215394
98764,1675,2290,256,0.00169713,0.00880498
98765,1958,2290,256,0.00190333,0.00533375
98766,2290,2290,256,0.00210288,0.00496021
98767,2678,2290,256,0.00243377,0.0176276
98768,3132,2290,256,0.00277707,0.00915085
98769,3663,2290,256,0.00320193,0.0129113
98770,4283,2290,256,0.00363964,0.00996994
98771,5009,2290,256,0.00410461,0.00381407
98772,5858,2290,256,0.00491408,0.0150152
98773,6850,2290,256,0.00559772,0.0131092
98774,8011,2290,256,0.00632047,0.00548982
98775,9368,2290,256,0.007394,0.00381248
98776,10955,2290,256,0.00871255,0.00408667
98777,12812,2290,256,0.00989754,0.00429661
98778,14982,2290,256,0.0113584,0.00205648
98779,17521,2290,256,0.013027,0.00301031
98780,20489,2290,256,0.0162321,0.00985109
98781,23961,2290,256,0.0172938,0.00205024
98782,28020,2290,256,0.0210934,0.131992
98783,32768,2290,256,0.0763652,0.0257173
98784,256,2678,256,0.000592443,0.0508354
98785,299,2678,256,0.000644844,0.0563964
98786,350,2678,256,0.000705411,0.0497977
98787,409,2678,256,0.000730019,0.0420291
98788,479,2678,256,0.000875239,0.0356288
98789,560,2678,256,0.00085137,0.0439186
98790,655,2678,256,0.00100041,0.00925295
98791,766,2678,256,0.00107345,0.00999382
98792,895,2678,256,0.00123717,0.0240701
98793,1047,2678,256,0.00134195,0.0258858
98794,1225,2678,256,0.00150173,0.0204579
