node ppn nthreads layout dset gset zsetx zsety zsetz groups quad zonex zoney zonez legendre solver k1 k2 k3 k4 k5 Solver k7 SweepSolver k9
0 1 32 2 1 16 8 1 1 1 16 32 16 16 16 4 0 0.0277679 0.0468357 0.0637555 0.00840267 0.0609239 0.241385 0.000316645 0.0569838 0.0297685
0 1 32 2 2 16 2 1 1 1 8 16 16 16 16 4 1 0.0242009 0.00267303 0.0031776 0.00505913 0.00687813 0.0427872 0.000786376 0.0200113 0.0094836
0 1 32 2 5 8 8 1 1 1 64 32 16 16 16 2 1 0.0272979 0.0261249 0.0308387 0.0129776 0.170301 0.482823 0.000334335 0.229052 0.0960806
0 1 32 2 1 8 1 2 2 2 8 8 16 16 16 1 0 0.0248552 0.00158763 0.00180336 0.0101486 0.00261254 0.0402048 0.000391839 0.0206582 0.00859539
0 1 32 2 0 8 4 1 1 1 32 8 16 16 16 0 0 0.0230015 0.00102419 0.00233806 0.00403234 0.00525977 0.0388693 0.000442506 0.0216454 0.012787
0 1 32 2 0 8 8 1 1 1 8 24 24 24 24 3 0 0.0255281 0.00673577 0.0066613 0.00478949 0.0147022 0.086049 0.000392962 0.0457785 0.0288229
0 1 32 2 2 16 4 1 1 1 64 16 16 16 16 0 1 0.0256543 0.00253376 0.00271055 0.00360663 0.0182497 0.167118 0.000859063 0.13214 0.0500304
0 1 32 2 0 24 4 1 1 1 8 24 24 24 24 1 0 0.0265391 0.00354874 0.00338007 0.00704457 0.00416923 0.0788277 0.000267542 0.055567 0.0265315
0 1 32 2 5 8 1 2 2 2 48 16 16 16 16 1 0 0.0254096 0.00924449 0.00999915 0.0290947 0.0400044 0.14385 0.000265086 0.0505391 0.0340609
0 1 32 2 0 24 1 1 1 1 8 24 24 24 24 4 1 0.0248957 0.00813534 0.0110596 0.00612797 0.0178435 0.0938406 0.000251454 0.041949 0.0236665
0 1 32 2 1 16 8 1 1 1 8 16 16 16 16 1 0 0.0262513 0.00664678 0.0100574 0.00662256 0.00574565 0.0868754 0.000357069 0.0546872 0.0218646
