,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,7424,cube,195,3,9,0.000458,0.006244,4e-06,0.000598,0.11768,0.205013,0.249013,0.000502,0.579977
0,1,2,64,24826,cube,41,2,7,0.003183,0.01059,7e-06,0.020391,0.070186,0.292468,1.72707,0.003691,2.12549
0,1,4,16,7472,cube,149,2,12,0.000744,0.003149,5e-06,0.001021,0.048552,0.021244,0.479959,0.002737,0.557553
0,1,2,32,9444,cube,233,3,15,0.001501,0.004945,7e-06,0.003027,0.050155,0.040318,1.00228,0.003577,1.1053
0,1,8,8,57160,cube,39,3,14,0.002232,0.008234,6e-06,0.01437,0.068923,0.521864,5.9899,0.018286,6.6226
0,1,2,64,4724,cube,213,2,11,0.000936,0.002957,6e-06,0.001519,0.061526,0.019851,0.939382,0.006296,1.03252
0,1,16,8,34400,cube,198,3,5,0.001235,0.004738,6e-06,0.001427,0.035269,0.154779,0.13519,0.002001,0.334501
0,1,4,16,18756,cube,59,3,8,0.001304,0.004938,5e-06,0.003442,0.050794,0.107379,0.339245,0.001529,0.508352
0,1,4,16,7876,cube,117,1,14,0.000817,0.003079,5e-06,0.002801,0.03776,0.047494,1.73289,0.004261,1.82923
0,1,8,16,44440,cube,164,2,4,0.001977,0.007398,7e-06,0.003494,0.077513,0.12384,0.152914,0.001771,0.368083
0,1,8,16,28360,cube,34,4,6,0.001494,0.006089,5e-06,0.005456,0.058676,1.90714,0.993563,0.002805,2.97485
0,1,64,1,20288,cube,63,3,6,0.00063,0.006775,7e-06,0.000545,0.231144,0.072421,0.077827,0.000806,0.390582
0,1,8,8,41912,cube,106,1,14,0.00196,0.006501,5e-06,0.004344,0.033956,0.137796,1.60886,0.00773,1.80018
0,1,2,64,5540,cube,153,1,6,0.000982,0.002485,4e-06,0.001472,0.062378,0.020399,0.175308,0.002632,0.265737
0,1,16,8,19712,cube,44,2,8,0.001022,0.003291,7e-06,0.001399,0.08096,0.08615,0.648092,0.002475,0.823497
0,1,2,32,6502,cube,168,2,12,0.001111,0.0036,5e-06,0.002553,0.058415,0.02329,0.641263,0.004554,0.734599
0,1,8,8,25104,cube,104,3,15,0.001495,0.005898,5e-06,0.003325,0.031475,0.130753,2.24604,0.00675,2.42519
0,1,1,64,6258,cube,204,1,12,0.002051,0.004614,6e-06,0.004199,0.082687,0.014716,0.783497,0.005418,0.896234
0,1,32,2,30304,cube,171,1,6,0.000552,0.005223,7e-06,0.002948,0.158265,0.078209,0.235442,0.004708,0.485789
0,1,32,4,25664,cube,63,4,10,0.000542,0.004543,6e-06,0.000852,0.155209,0.234197,0.678301,0.004147,1.07828
0,1,64,1,4416,cube,49,2,8,0.000784,0.006163,6e-06,0.000554,0.237436,0.065367,0.173905,0.000535,0.484952
0,1,16,8,5680,cube,235,1,5,0.000495,0.002596,4e-06,0.000406,0.067928,0.042297,0.116545,0.001828,0.232616
0,1,16,4,23120,cube,54,2,8,0.000901,0.00342,7e-06,0.00107,0.042226,0.078253,0.301968,0.002183,0.430304
0,1,32,2,11040,cube,55,4,7,0.000603,0.003854,6e-06,0.000504,0.121402,0.127132,0.144227,0.000756,0.398815
0,1,8,16,17768,cube,115,2,4,0.001121,0.004463,6e-06,0.001677,0.062026,0.067094,0.075804,0.001124,0.213259
0,1,16,4,35408,cube,66,4,15,0.000827,0.004363,6e-06,0.004314,0.09821,0.719678,5.66274,0.015996,6.50629
0,1,2,32,18300,cube,101,3,10,0.002214,0.008289,6e-06,0.007779,0.053159,0.170112,0.802014,0.002774,1.04524
0,1,64,1,65216,cube,168,2,5,0.001295,0.007567,7e-06,0.000798,0.077354,0.207837,0.102571,0.001937,0.399045
0,1,16,8,28096,cube,226,2,6,0.001059,0.003996,7e-06,0.000899,0.046762,0.124846,0.179479,0.002058,0.359146
0,1,16,4,46000,cube,253,1,4,0.001297,0.006565,6e-06,0.003701,0.089679,0.087927,0.115287,0.002408,0.306804
0,1,2,32,4372,cube,47,2,5,0.000838,0.002801,6e-06,0.002313,0.047531,0.035053,0.241329,0.001569,0.331562
0,1,4,32,5524,cube,108,4,6,0.000794,0.003332,5e-06,0.000741,0.051524,0.147249,0.156458,0.002076,0.362464
0,1,2,64,9802,cube,197,4,11,0.001688,0.00499,7e-06,0.003184,0.067056,0.207303,0.63185,0.003076,0.918599
0,1,1,64,31093,cube,137,3,11,0.006916,0.020751,7e-06,0.024011,0.087883,0.305725,1.25687,0.005971,1.70221
0,1,4,32,17100,cube,44,1,8,0.001393,0.004866,6e-06,0.003828,0.052656,0.070118,0.588649,0.002362,0.723526
0,1,8,8,16584,cube,161,1,11,0.001203,0.003765,6e-06,0.002144,0.042913,0.059459,0.66217,0.00267,0.774054
0,1,32,4,16000,cube,209,1,6,0.000501,0.004071,7e-06,0.001652,0.019108,0.164031,0.233854,0.002284,0.426147
0,1,32,2,56800,cube,146,3,8,0.000716,0.005175,6e-06,0.001115,0.086504,0.155659,0.22386,0.003261,0.476491
0,1,32,2,6336,cube,81,2,7,0.000398,0.003263,6e-06,0.000381,0.145275,0.048642,0.166148,0.000837,0.365441
0,1,2,64,47324,cube,143,2,8,0.005265,0.017225,6e-06,0.015521,0.069628,0.146379,0.671448,0.004766,0.9261
0,1,1,64,8688,cube,133,2,7,0.002221,0.005872,6e-06,0.006765,0.080635,0.042045,0.253485,0.001114,0.390969
0,1,4,32,55924,cube,81,2,7,0.003404,0.012419,6e-06,0.015792,0.051481,0.270514,1.05086,0.003215,1.40539
0,1,4,32,5240,cube,162,3,8,0.00069,0.002561,5e-06,0.000653,0.049389,0.031659,0.326744,0.003464,0.415451
0,1,8,8,9824,cube,97,4,13,0.001004,0.002997,6e-06,0.001734,0.040248,0.314097,1.32536,0.003075,1.68849
0,1,16,8,56560,cube,61,1,14,0.001151,0.007139,5e-06,0.013336,0.107656,0.428247,9.2933,0.027673,9.87849
0,1,16,8,9968,cube,62,2,11,0.000501,0.002531,5e-06,0.000796,0.057245,0.117214,0.967723,0.002945,1.14952
0,1,4,32,23184,cube,125,2,14,0.001524,0.006353,6e-06,0.005382,0.064669,0.109614,3.06233,0.009262,3.2587
0,1,32,2,8160,cube,140,1,12,0.000574,0.003655,7e-06,0.000611,0.179674,0.049885,0.551371,0.003923,0.790166
0,1,64,1,26816,cube,63,1,7,0.001216,0.006805,5e-06,0.003014,0.242064,0.107901,0.628512,0.010677,1.00006
0,1,64,1,22720,cube,233,2,13,0.000596,0.006326,7e-06,0.000603,0.21873,0.301318,0.841695,0.003505,1.37327
0,1,64,1,62464,cube,62,2,15,0.000733,0.007652,6e-06,0.003235,0.347618,0.509123,5.64765,0.02022,6.53658
0,1,2,64,7658,cube,35,3,15,0.001124,0.003336,6e-06,0.006958,0.066091,0.227815,6.45775,0.013078,6.77612
0,1,64,2,4608,cube,192,2,6,0.000529,0.006109,7e-06,0.000633,0.242513,0.204068,0.147266,0.00031,0.601972
0,1,64,2,43648,cube,190,3,15,0.001068,0.007346,5e-06,0.000695,0.142549,0.467755,2.41139,0.012306,3.0431
0,1,64,2,11712,cube,54,1,11,0.001892,0.006419,7e-06,0.001971,0.166755,0.198715,1.85398,0.01075,2.23992
0,1,64,2,8384,cube,60,2,13,0.000555,0.00662,7e-06,0.000556,0.187798,0.253596,1.41941,0.003184,1.87231
0,1,8,8,7568,cube,144,4,12,0.000924,0.003472,6e-06,0.000681,0.034097,0.084036,0.474174,0.002332,0.599724
0,1,8,16,35568,cube,109,2,5,0.001625,0.006092,6e-06,0.002961,0.070391,0.097355,0.161457,0.002573,0.341956
0,1,1,64,43348,cube,238,3,5,0.009207,0.025067,7e-06,0.023923,0.081982,0.304413,0.23026,0.001671,0.668464
0,1,8,8,15688,cube,112,2,9,0.001255,0.003771,5e-06,0.001649,0.03641,0.05665,0.353163,0.00172,0.454314
0,1,8,8,52552,cube,254,4,10,0.002118,0.008716,7e-06,0.004783,0.048603,0.358413,0.56938,0.005266,0.996173
0,1,64,1,4928,cube,153,2,7,0.001224,0.006607,6e-06,0.000196,0.161193,0.174925,0.115934,0.000241,0.460004
0,1,4,16,49840,cube,77,3,10,0.003086,0.014692,6e-06,0.019102,0.063091,0.687721,2.65685,0.008157,3.45063
0,1,32,2,10656,cube,64,4,4,0.000471,0.003741,5e-06,0.000471,0.172893,0.104961,0.031326,0.000384,0.314699
0,1,16,8,5952,cube,193,2,15,0.000521,0.002232,5e-06,0.000375,0.07714,0.03231,1.68395,0.005255,1.80225
0,1,64,1,10304,cube,137,4,11,0.000518,0.007449,7e-06,0.000463,0.174814,0.190883,0.45948,0.001499,0.835655
0,1,16,8,47584,cube,121,3,8,0.001305,0.005606,6e-06,0.002006,0.05187,0.155689,0.397736,0.003644,0.617574
0,1,16,8,45440,cube,245,1,6,0.001258,0.005871,5e-06,0.003876,0.051095,0.131128,0.297862,0.003498,0.494446
0,1,16,8,6160,cube,236,3,14,0.000433,0.002137,4e-06,0.000512,0.059455,0.089872,1.34056,0.006393,1.49983
0,1,16,8,27504,cube,193,4,15,0.000972,0.004257,5e-06,0.001634,0.05535,0.320245,2.99161,0.011126,3.38536
0,1,32,4,5344,cube,143,2,9,0.00041,0.003575,5e-06,0.000252,0.100873,0.034786,0.292308,0.001288,0.434149
0,1,4,32,28940,cube,184,2,8,0.002001,0.006834,6e-06,0.00519,0.052662,0.09236,0.545984,0.00325,0.707411
0,1,8,16,5880,cube,107,1,12,0.000536,0.002734,5e-06,0.000634,0.052978,0.032842,0.996572,0.005418,1.09212
0,1,1,64,20803,cube,82,3,13,0.004843,0.013638,7e-06,0.019192,0.089065,0.283474,2.11634,0.005035,2.52794
0,1,32,4,45472,cube,48,3,15,0.000895,0.004873,6e-06,0.004057,0.154361,0.374943,10.9568,0.02762,11.5238
0,1,2,64,17050,cube,164,4,12,0.002177,0.008105,6e-06,0.00839,0.068189,1.0674,2.29656,0.006296,3.45597
0,1,2,64,8468,cube,141,2,14,0.001213,0.004129,6e-06,0.003432,0.06294,0.048099,1.90528,0.006723,2.03169
0,1,16,8,7584,cube,227,1,13,0.00066,0.002582,6e-06,0.000566,0.062882,0.052874,0.992115,0.004695,1.1168
0,1,2,32,47798,cube,176,3,11,0.005255,0.019802,8e-06,0.016826,0.058457,0.218715,1.07802,0.005662,1.39846
0,1,32,4,38560,cube,163,3,7,0.00073,0.004413,6e-06,0.00076,0.084957,0.166607,0.261486,0.00304,0.522262
0,1,4,32,17644,cube,54,1,6,0.001234,0.004541,5e-06,0.002928,0.04274,0.07591,0.22033,0.001457,0.348952
0,1,8,16,6120,cube,118,3,12,0.000619,0.002719,7e-06,0.000576,0.069258,0.039403,0.875528,0.005335,0.993809
0,1,32,2,6432,cube,195,3,10,0.000372,0.003283,5e-06,0.000456,0.16018,0.035113,0.236226,0.001116,0.437243
0,1,4,16,24948,cube,111,2,7,0.001738,0.006256,6e-06,0.004221,0.038815,0.068936,0.221228,0.001459,0.341971
0,1,64,1,15488,cube,226,2,13,0.000885,0.006694,7e-06,0.000546,0.2593,0.130898,0.815926,0.002824,1.21721
0,1,64,1,9088,cube,102,4,14,0.000427,0.007206,6e-06,0.000409,0.198868,0.209164,1.0983,0.002428,1.51737
0,1,64,1,18752,cube,104,3,14,0.000711,0.007046,5e-06,0.000645,0.207244,0.296654,1.10234,0.003617,1.61852
0,1,32,4,6208,cube,100,1,8,0.000474,0.003379,6e-06,0.000881,0.135545,0.06178,0.411525,0.003168,0.61726
0,1,64,1,10496,cube,225,4,8,0.00105,0.007791,7e-06,0.000303,0.249239,0.261067,0.282179,0.000557,0.802096
0,1,32,2,7904,cube,174,3,4,0.00043,0.003791,5e-06,0.00041,0.152223,0.055886,0.023458,0.000265,0.236913
0,1,2,32,40380,cube,121,4,8,0.00453,0.017142,6e-06,0.013509,0.055007,1.02792,0.48637,0.002749,1.60366
