,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,8,16,14912,cube,148,1,14,0.001016,0.004091,6e-06,0.002417,0.070518,0.096122,2.56318,0.007073,2.74444
0,1,8,16,14792,cube,109,4,13,0.001002,0.004093,6e-06,0.002268,0.073857,0.39679,2.24282,0.00574,2.72666
0,1,8,16,15920,cube,116,2,5,0.001059,0.003612,7e-06,0.001371,0.078111,0.055777,0.114059,0.001063,0.255085
0,1,8,16,14008,cube,186,2,11,0.000979,0.00322,6e-06,0.001791,0.052457,0.08197,1.0851,0.003764,1.22938
0,1,8,16,15584,cube,35,4,14,0.00117,0.004316,6e-06,0.003441,0.063473,0.717301,4.30607,0.01224,5.10796
0,1,8,16,15448,cube,179,2,15,0.001091,0.003718,6e-06,0.002665,0.059594,0.110782,3.31657,0.008546,3.50292
0,1,8,16,16344,cube,213,3,6,0.000991,0.003844,6e-06,0.001583,0.049132,0.113769,0.196249,0.001354,0.366977
0,1,8,16,15712,cube,162,4,10,0.001134,0.004389,7e-06,0.002017,0.036292,0.409693,0.836114,0.003917,1.29345
0,1,8,16,15664,cube,197,3,12,0.00086,0.003682,6e-06,0.00209,0.035401,0.180902,1.5113,0.00475,1.73917
0,1,4,16,15900,cube,136,2,6,0.001261,0.00441,7e-06,0.003007,0.036607,0.062369,0.134413,0.00086,0.242612
0,1,4,16,16340,cube,102,1,12,0.001309,0.004353,5e-06,0.004192,0.037603,0.070817,1.10452,0.003234,1.22568
0,1,4,16,15324,cube,176,4,4,0.001498,0.005194,7e-06,0.002881,0.047217,0.513949,0.059141,0.000557,0.629903
0,1,4,16,15664,cube,34,2,14,0.001266,0.00437,6e-06,0.00792,0.049307,0.130835,3.79051,0.008202,3.99212
0,1,4,16,14188,cube,156,2,15,0.001188,0.004764,5e-06,0.004707,0.045908,0.074773,2.40615,0.005163,2.54244
0,1,4,16,15732,cube,92,4,14,0.001159,0.004618,5e-06,0.004273,0.041946,0.547858,1.98467,0.004682,2.58899
0,1,4,16,14540,cube,59,4,12,0.001231,0.005425,6e-06,0.00393,0.042229,0.539086,1.13726,0.003166,1.73204
0,1,4,16,14132,cube,160,3,7,0.001438,0.004479,6e-06,0.003129,0.045071,0.102564,0.22177,0.001002,0.379002
