,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,5248,cube,205,2,11,0.000478,0.006611,6e-06,0.000443,0.196029,0.237644,0.350399,0.000479,0.792552
0,1,64,1,39104,cube,126,1,4,0.001589,0.007633,6e-06,0.003446,0.215491,0.232791,0.279792,0.007546,0.747807
0,1,64,1,42432,cube,249,4,12,0.000819,0.007661,6e-06,0.000844,0.199041,0.415229,0.76382,0.005051,1.39263
0,1,64,1,57792,cube,60,1,9,0.001076,0.008804,6e-06,0.00972,0.218637,0.317998,6.97257,0.04652,7.5753
0,1,64,1,4928,cube,126,4,8,0.001565,0.006945,5e-06,0.000399,0.17322,0.080869,0.152805,0.000271,0.415412
0,1,64,1,5824,cube,80,4,11,0.000572,0.007077,7e-06,0.000394,0.095678,0.25118,0.450385,0.001103,0.806865
0,1,64,1,9152,cube,184,1,8,0.00073,0.006385,7e-06,0.000765,0.227122,0.049001,0.248334,0.004165,0.536772
0,1,64,1,24704,cube,131,3,12,0.00066,0.00641,5e-06,0.000761,0.191876,0.186737,0.633136,0.003171,1.02304
0,1,64,1,10880,cube,124,2,13,0.001139,0.006479,8e-06,0.001091,0.251251,0.122935,0.832563,0.002316,1.21768
0,1,64,1,4416,cube,223,1,9,0.000456,0.006217,7e-06,0.000473,0.192164,0.102288,0.254009,0.002565,0.558779
0,1,64,1,46912,cube,181,1,5,0.001744,0.008257,4e-06,0.003815,0.29434,0.114918,0.433697,0.01132,0.867506
0,1,64,1,19520,cube,60,4,4,0.000649,0.006472,5e-06,0.000741,0.287938,0.101981,0.033429,0.00053,0.432072
0,1,64,1,25920,cube,150,1,11,0.000896,0.007104,7e-06,0.002935,0.28497,0.188731,1.92633,0.022562,2.43374
0,1,64,1,15872,cube,252,3,6,0.00201,0.006255,6e-06,0.00033,0.230461,0.24537,0.403577,0.00058,0.887605
0,1,64,1,9216,cube,219,2,15,0.000566,0.006732,5e-06,0.000206,0.224011,0.287527,1.07601,0.001545,1.59691
0,1,64,1,14912,cube,74,2,11,0.001236,0.006349,4e-06,0.00045,0.193702,0.293715,0.469306,0.001892,0.966403
0,1,64,1,29376,cube,148,3,11,0.002295,0.006799,5e-06,0.000944,0.237392,0.304148,0.476202,0.00312,1.02963
0,1,64,1,9088,cube,59,4,11,0.001208,0.007259,6e-06,0.000276,0.155723,0.169204,0.464941,0.001395,0.799726
0,1,64,1,6912,cube,129,4,11,0.000504,0.007573,5e-06,0.000154,0.205098,0.085878,0.384751,0.000599,0.685002
0,1,64,1,26688,cube,185,4,14,0.000574,0.007534,7e-06,0.0008,0.129896,0.31839,1.30568,0.004907,1.76818
0,1,64,1,42816,cube,205,2,11,0.000789,0.00735,6e-06,0.000728,0.142982,0.213127,0.490271,0.004187,0.859624
0,1,64,1,5440,cube,78,1,15,0.000717,0.006457,6e-06,0.001515,0.166215,0.230924,4.24349,0.015154,4.66475
0,1,64,1,4736,cube,154,1,11,0.002097,0.005861,5e-06,0.000392,0.195337,0.106,0.463942,0.003903,0.776403
0,1,64,1,8512,cube,243,1,5,0.001268,0.006235,6e-06,0.000659,0.223934,0.089426,0.110021,0.002124,0.433399
0,1,64,1,33408,cube,216,2,8,0.000996,0.006231,6e-06,0.000578,0.256429,0.105765,0.190388,0.001915,0.562222
0,1,64,1,11264,cube,115,1,7,0.00063,0.006319,6e-06,0.00139,0.237984,0.149019,0.476496,0.004939,0.877167
0,1,64,1,35840,cube,138,1,8,0.00101,0.007844,7e-06,0.003374,0.336286,0.126321,0.850846,0.016376,1.34217
0,1,64,1,49728,cube,42,1,6,0.001365,0.008125,6e-06,0.007847,0.353001,0.195381,2.06889,0.018972,2.65328
0,1,64,1,20096,cube,174,1,7,0.001207,0.006848,6e-06,0.00217,0.350479,0.111124,0.511763,0.008014,0.991482
0,1,64,1,27712,cube,187,3,13,0.001402,0.007177,6e-06,0.000701,0.346198,0.214288,0.843587,0.004147,1.4171
0,1,64,1,6784,cube,65,4,10,0.001062,0.006739,4.6e-05,0.000388,0.224103,0.293409,0.339786,0.000952,0.866359
0,1,64,1,56704,cube,167,3,10,0.000833,0.007515,8e-06,0.001127,0.200394,0.136433,0.38579,0.004642,0.73686
0,1,64,1,5376,cube,152,2,6,0.000758,0.006807,5e-06,0.000159,0.159431,0.093028,0.09685,0.00022,0.357329
0,1,64,1,8384,cube,134,2,14,0.000478,0.006507,7e-06,0.000659,0.225526,0.119887,0.929804,0.002448,1.28594
0,1,64,1,30528,cube,205,4,4,0.000571,0.00762,6e-06,0.000371,0.179076,0.155035,0.042238,0.000801,0.386167
0,1,64,1,12352,cube,235,3,4,0.000652,0.006943,6.2e-05,0.000227,0.126759,0.218699,0.229962,0.000283,0.583881
0,1,64,1,59200,cube,161,1,5,0.000976,0.008435,8e-06,0.005122,0.166077,0.23104,0.581715,0.014002,1.00745
0,1,64,1,45824,cube,127,1,13,0.00191,0.008548,7e-06,0.004744,0.318329,0.202965,3.55388,0.049576,4.13911
0,1,64,1,64832,cube,80,4,7,0.001342,0.008321,7e-06,0.001606,0.277139,0.271437,0.508264,0.003844,1.07169
0,1,64,1,14656,cube,123,3,5,0.000847,0.006644,5e-06,0.000362,0.325973,0.052367,0.045059,0.000528,0.431899
0,1,64,1,5248,cube,143,3,12,0.000685,0.006907,5.1e-05,0.000241,0.188319,0.220542,0.455977,0.000538,0.873573
0,1,64,1,4224,cube,171,3,5,0.001018,0.006109,4e-06,0.000468,0.353974,0.03838,0.055157,0.000137,0.455157
0,1,64,1,15424,cube,147,3,11,0.000673,0.006235,6e-06,0.000525,0.141327,0.347636,0.465476,0.001934,0.964172
0,1,64,1,9280,cube,78,4,4,0.000639,0.007274,6e-06,0.00048,0.238958,0.2262,0.024878,0.00031,0.499051
0,1,64,1,42304,cube,108,4,6,0.001116,0.007911,6e-06,0.000603,0.326762,0.201212,0.111295,0.001636,0.650503
0,1,64,1,5952,cube,43,3,8,0.001502,0.00579,5e-06,0.000324,0.07248,0.178973,0.166567,0.000535,0.425601
0,1,64,1,4736,cube,188,4,7,0.000529,0.007439,6e-06,0.000216,0.215353,0.050791,0.112629,0.000218,0.387533
0,1,64,1,28224,cube,111,4,4,0.001115,0.007532,7e-06,0.000616,0.214455,0.101948,0.040361,0.000824,0.36671
0,1,64,1,4608,cube,79,2,13,0.000804,0.006009,5e-06,0.000204,0.205618,0.0968,0.844225,0.000616,1.15437
0,1,64,1,22720,cube,125,1,11,0.00059,0.007209,6e-06,0.002801,0.265181,0.136042,1.90658,0.020297,2.33925
0,1,64,1,24768,cube,226,1,6,0.001023,0.007206,5e-06,0.002464,0.190298,0.158421,0.365458,0.00774,0.732665
0,1,64,1,11392,cube,213,1,10,0.001253,0.006624,6e-06,0.000845,0.168434,0.179941,0.445789,0.007218,0.809822
0,1,64,1,8320,cube,248,4,9,0.000756,0.007056,7e-06,0.000413,0.196286,0.191443,0.270782,0.000548,0.667442
0,1,64,1,6208,cube,186,3,5,0.001062,0.005894,4e-06,0.000531,0.113007,0.264693,0.086864,0.000192,0.472139
0,1,64,1,5632,cube,159,4,9,0.000955,0.006598,5e-06,0.00028,0.084432,0.318821,0.212324,0.000383,0.623705
0,1,64,1,5248,cube,241,4,5,0.000624,0.006564,7e-06,0.000499,0.221411,0.188915,0.071646,0.000166,0.490151
0,1,64,1,6656,cube,201,3,7,0.000954,0.00595,8e-06,0.000585,0.345845,0.099349,0.142255,0.000296,0.595183
0,1,64,1,6848,cube,96,1,5,0.000544,0.005992,9e-06,0.000938,0.019852,0.426523,0.151354,0.002016,0.607741
0,1,64,1,11712,cube,220,4,6,0.000954,0.007233,7e-06,0.000262,0.115415,0.192501,0.256031,0.00044,0.572813
0,1,64,1,14080,cube,162,3,12,0.000885,0.006365,1e-05,0.000695,0.127762,0.201388,0.629733,0.002203,0.969147
0,1,64,1,35200,cube,185,4,14,0.000703,0.007673,5e-06,0.000939,0.127504,0.3311,1.31472,0.005963,1.78887
0,1,64,1,33152,cube,72,1,15,0.001,0.007841,7e-06,0.005268,0.253413,0.356923,9.04405,0.060174,9.7287
0,1,64,1,7616,cube,191,3,4,0.00041,0.005853,8e-06,0.000424,0.088109,0.205412,0.10542,0.000209,0.40636
0,1,64,1,46336,cube,113,3,8,0.000695,0.007423,7e-06,0.000832,0.171944,0.19543,0.206432,0.002544,0.585651
0,1,64,1,57792,cube,234,3,13,0.000895,0.008202,5e-06,0.000759,0.250664,0.230201,0.88247,0.007677,1.38095
