m,n,node,ppn,ob,ib,pc,avg,std
3768,4479,120,1,8,112,56,1,0.0180335,0.45652
3781,3425,350,1,8,120,48,2,0.0666092,0.204068
3784,65536,895,1,8,72,40,2,1.75183,0.00980484
3796,14982,400,1,8,120,48,1,0.110176,0.0746195
3817,2995,350,1,8,80,32,1,0.0439017,0.190695
3832,1531,70,1,8,64,16,1,0.00813663,0.803491
3876,1751,458,1,8,112,16,2,0.0646821,0.183597
3879,4479,1024,1,8,120,24,1,0.170757,0.0601212
3886,38320,400,1,8,120,56,2,0.441114,0.0227603
3937,5122,41,1,8,32,16,1,0.00954489,0.550764
3939,14982,27,1,8,8,8,1,0.0811777,0.0591201
3940,8760,27,1,8,16,16,1,0.0143423,0.435235
3941,14982,92,1,8,72,56,1,0.0230994,0.328939
3960,25623,105,1,8,96,64,1,0.0361997,0.18157
3964,13101,24,1,8,16,8,1,0.0182617,0.327147
3971,1531,599,1,8,80,24,1,0.0586719,0.117534
3990,38320,92,1,8,88,40,1,0.0416891,0.190218
4011,1171,599,1,8,96,24,2,0.0625369,0.18868
4020,43822,61,1,8,8,8,1,0.601482,0.0243915
4024,22406,599,1,8,112,56,2,0.420403,0.0369595
4030,29302,137,1,8,112,56,1,0.0481237,0.145164
4048,8760,524,1,8,120,56,1,0.121056,0.0765549
4065,1751,1024,1,8,112,56,2,0.123576,0.0964712
4073,6699,70,1,8,64,40,1,0.013312,0.704048
4092,6699,61,1,8,16,16,1,0.0265638,0.175422
10,33509,205,1,16,120,40,1,0.0703824,0.0760348
24,2290,1024,1,16,80,8,1,0.140341,0.0430363
35,1171,27,1,16,24,8,1,0.00493674,1.24058
36,2995,120,1,16,104,40,1,0.0125892,0.464348
53,6699,268,1,16,96,56,2,0.0571228,0.190074
55,22406,105,1,16,96,16,1,0.0285567,0.181368
59,57308,70,1,16,64,40,1,0.0407521,0.128051
71,19593,36,1,16,24,24,1,0.0173185,0.280662
86,65536,179,1,16,80,16,2,0.246183,0.0368951
98,14982,599,1,16,72,24,4,0.392511,0.0500028
133,2290,205,1,16,80,56,2,0.0263264,0.476174
146,2290,306,1,16,120,48,2,0.0394461,0.292763
169,43822,47,1,16,24,16,1,0.0391047,0.171608
187,4479,179,1,16,88,8,1,0.0266051,0.24166
201,29302,524,1,16,104,8,2,0.396236,0.0291744
208,17133,458,1,16,128,40,2,0.190213,0.0633021
209,25623,400,1,16,88,32,2,0.230011,0.0583897
221,5858,350,1,16,64,24,2,0.0747533,0.150699
243,5122,685,1,16,104,8,4,0.205285,0.0989809
275,6699,47,1,16,40,16,1,0.00953288,0.654149
291,17133,47,1,16,8,8,2,0.233869,0.0359869
297,33509,105,1,16,72,64,1,0.0365278,0.150704
302,2290,120,1,16,88,64,1,0.0112454,0.456929
309,38320,16,1,16,16,8,1,0.0108656,0.35327
310,2003,400,1,16,128,40,1,0.0403642,0.0219016
340,17133,268,1,16,72,56,2,0.113903,0.0955173
344,7661,685,1,16,112,8,4,0.285758,0.0764129
352,5122,895,1,16,128,64,1,0.149252,0.051059
359,38320,205,1,16,128,64,1,0.0827669,0.0652995
365,10018,137,1,16,88,40,1,0.0228559,0.316738
378,38320,36,1,16,8,8,4,0.538512,0.0328311
395,7661,54,1,16,48,48,1,0.00908391,0.425468
433,1171,70,1,16,64,16,1,0.00658656,0.677291
491,1531,157,1,16,72,56,2,0.0186737,0.680659
505,65536,27,1,16,24,24,1,0.0445992,0.0888617
513,1339,599,1,16,96,16,1,0.0598139,0.01175
528,1024,234,1,16,72,16,2,0.0223064,0.368481
602,2619,1024,1,16,120,48,1,0.124199,0.0267545
643,1339,120,1,16,80,24,1,0.0095286,0.425865
668,5122,1024,1,16,104,40,2,0.205367,0.0593153
691,2995,306,1,16,96,40,2,0.048173,0.249596
727,33509,41,1,16,16,16,1,0.0621586,0.0703744
779,43822,1024,1,16,128,24,4,1.79588,0.0121908
841,1751,105,1,16,104,40,1,0.00979716,0.337044
846,7661,27,1,16,8,8,2,0.0615421,0.121045
847,2995,47,1,16,40,16,1,0.00743431,0.852137
852,2995,458,1,16,88,24,2,0.07119,0.167798
855,33509,80,1,16,64,48,1,0.0287959,0.189072
881,29302,895,1,16,64,64,2,0.727964,0.017357
904,1339,80,1,16,64,32,1,0.00661092,0.802369
906,38320,205,1,16,112,32,1,0.0781679,0.0592315
932,2995,18,1,16,8,8,1,0.0119464,0.314421
943,65536,599,1,16,80,56,1,0.45712,0.0178235
949,1171,16,1,16,8,8,1,0.00494372,1.10317
968,2995,400,1,16,96,16,1,0.0497599,0.0724067
970,1751,685,1,16,96,24,1,0.0710148,0.0730036
971,2290,92,1,16,80,48,1,0.00863645,0.534568
992,38320,458,1,16,120,40,2,0.380592,0.0304449
999,1024,268,1,16,120,56,1,0.0205779,0.0396755
1015,13101,47,1,16,16,16,2,0.0484495,0.201153
1033,8760,157,1,16,96,24,1,0.0248505,0.237776
1046,2619,350,1,16,120,24,2,0.0499019,0.270488
1052,8760,685,1,16,88,16,4,0.273542,0.0846157
1068,4479,70,1,16,64,16,1,0.0101705,0.68972
1072,5122,27,1,16,24,24,1,0.0066347,0.674035
1076,2995,783,1,16,104,56,2,0.121035,0.0854216
1127,14982,36,1,16,32,8,1,0.0123024,0.391203
1137,5858,400,1,16,128,40,2,0.0919765,0.117409
1142,1171,24,1,16,24,24,1,0.00264163,1.95211
1166,29302,16,1,16,16,8,1,0.00921332,0.560211
1179,38320,783,1,16,64,32,2,0.76983,0.0163033
1218,2995,31,1,16,16,16,1,0.00626678,0.74757
1225,11456,120,1,16,112,16,1,0.023319,0.251479
1252,7661,18,1,16,8,8,1,0.0242963,0.172564
1254,65536,31,1,16,24,16,1,0.0475519,0.126906
1263,33509,24,1,16,8,8,1,0.105123,0.0405552
1280,1339,70,1,16,64,56,1,0.00638893,0.724394
1288,5858,31,1,16,16,8,1,0.00946093,0.67467
1302,13101,120,1,16,112,8,1,0.0256727,0.335492
1307,13101,137,1,16,64,48,2,0.0503802,0.250687
1324,33509,1024,1,16,72,48,2,0.860433,0.0222655
1330,1024,16,1,16,8,8,2,0.00607758,1.22706
1353,2290,157,1,16,72,8,1,0.016293,0.237774
1356,22406,205,1,16,96,24,1,0.0571481,0.0974011
1361,3425,21,1,16,16,8,1,0.00604961,0.729701
1376,29302,18,1,16,16,8,1,0.0258451,0.158767
1378,19593,599,1,16,88,24,2,0.283545,0.0482851
1397,2619,61,1,16,16,8,1,0.0148483,0.356993
1419,1024,205,1,16,128,8,1,0.0162783,0.0669056
1427,1339,599,1,16,88,8,2,0.0614665,0.123195
1438,2995,36,1,16,8,8,4,0.0531633,0.272753
1439,1024,18,1,16,8,8,1,0.00732137,0.732976
1443,14982,105,1,16,104,40,1,0.0226802,0.316505
1514,1171,16,1,16,8,8,2,0.00651062,1.18097
1547,1339,783,1,16,72,8,4,0.0979044,0.251872
1555,5858,524,1,16,104,48,4,0.162832,0.127615
1564,5122,70,1,16,64,16,1,0.0104252,0.63995
1581,3917,599,1,16,64,8,1,0.0954823,0.0816635
1611,57308,234,1,16,112,56,2,0.31415,0.0309694
1634,11456,61,1,16,48,32,1,0.0124832,0.403922
1707,2003,179,1,16,72,8,2,0.0244318,0.481308
1767,6699,24,1,16,8,8,1,0.022874,0.171028
1787,6699,31,1,16,24,8,1,0.00855968,0.708122
1800,4479,21,1,16,8,8,1,0.0173863,0.229555
1814,4479,400,1,16,120,16,1,0.0627946,0.104433
1815,65536,400,1,16,104,32,2,0.543688,0.0200098
1837,22406,400,1,16,64,48,2,0.237074,0.0497597
1839,3917,31,1,16,8,8,1,0.0213617,0.20298
1841,2619,599,1,16,96,64,4,0.10781,0.203349
1876,8760,41,1,16,32,24,1,0.010787,0.544945
1912,3425,16,1,16,16,8,1,0.00283802,1.33362
1930,3425,47,1,16,24,24,1,0.00703988,0.843666
1951,43822,54,1,16,8,8,1,0.403304,0.0210222
1971,2003,234,1,16,64,32,1,0.0208346,0.189483
1981,2619,31,1,16,16,16,1,0.00638433,0.939242
1988,25623,234,1,16,112,64,2,0.139728,0.0920453
1994,1751,70,1,16,64,40,1,0.00679044,0.782983
2010,6699,268,1,16,72,8,2,0.0618369,0.158879
2034,1339,21,1,16,16,8,1,0.00487609,1.17774
2056,50113,41,1,16,40,16,1,0.0312005,0.183512
2059,11456,205,1,16,72,24,1,0.0380336,0.127961
2109,5858,179,1,16,80,40,1,0.0247119,0.174297
2133,11456,70,1,16,64,40,1,0.0134751,0.419671
2135,19593,105,1,16,96,40,1,0.02514,0.243711
2141,2290,92,1,16,72,24,1,0.00868645,0.745855
2143,22406,157,1,16,64,8,2,0.0885626,0.140527
2169,3917,350,1,16,80,24,1,0.0482649,0.143865
2178,5858,685,1,16,104,40,4,0.201014,0.0943278
2193,8760,16,1,16,16,16,1,0.0043421,1.34025
2230,2290,400,1,16,128,48,1,0.0436907,0.0961606
2296,13101,205,1,16,128,48,1,0.0414181,0.134261
2304,38320,54,1,16,40,8,1,0.0294386,0.210921
2322,29302,24,1,16,8,8,1,0.0848745,0.0611536
2330,2290,400,1,16,128,56,2,0.0547779,0.226817
2340,5858,105,1,16,88,64,1,0.0145021,0.384877
2366,25623,54,1,16,24,16,1,0.0404714,0.145376
2371,7661,80,1,16,72,24,1,0.0124691,0.437539
2372,17133,205,1,16,112,48,1,0.0473184,0.160689
2389,5122,205,1,16,96,64,2,0.0412671,0.26874
2405,1339,24,1,16,24,24,1,0.00292299,1.99367
2412,2619,524,1,16,120,32,2,0.076245,0.1656
2420,43822,400,1,16,72,48,4,0.770753,0.0297787
2442,19593,524,1,16,112,48,1,0.147414,0.0437936
2488,2995,157,1,16,72,40,1,0.0179905,0.35521
2497,6699,895,1,16,80,8,1,0.180974,0.042985
2512,4479,120,1,16,64,56,1,0.0138985,0.432729
2539,25623,24,1,16,24,16,1,0.00960218,0.539157
2549,5858,234,1,16,112,24,2,0.0508509,0.259645
2561,13101,157,1,16,88,40,1,0.0295921,0.184257
2562,2003,895,1,16,96,32,2,0.107055,0.10792
