,nbytes,nnodes,ppn,avg,std
605,3178688,2,64,0.00283419,0.0925631
606,7302707,2,64,0.00617774,0.0156511
607,16777216,2,64,0.0137321,0.00585535
32,64,4,1,2.43135e-06,0.518904
33,147,4,1,3.30529e-05,0.693786
34,338,4,1,3.28692e-05,0.579568
35,776,4,1,2.4523e-05,0.786253
36,1783,4,1,1.75137e-05,0.180424
37,4096,4,1,2.30198e-05,0.470413
38,9410,4,1,2.65946e-05,0.243586
39,21619,4,1,3.85406e-05,0.351368
40,49667,4,1,7.08705e-05,0.580868
41,114105,4,1,0.000191625,0.352912
42,262144,4,1,0.000234928,0.333578
43,602249,4,1,0.000327096,0.279947
44,1383604,4,1,0.000537884,0.154198
45,3178688,4,1,0.000935213,0.0964781
46,7302707,4,1,0.0016261,0.0654662
47,16777216,4,1,0.00361419,0.0181846
128,64,4,2,4.3446e-06,0.596046
129,147,4,2,2.21949e-05,0.481378
130,338,4,2,2.45023e-05,0.574857
131,776,4,2,2.43916e-05,0.411587
132,1783,4,2,2.85516e-05,0.639454
133,4096,4,2,2.76515e-05,0.42674
134,9410,4,2,3.38753e-05,0.27733
135,21619,4,2,4.62914e-05,0.285453
136,49667,4,2,7.15886e-05,0.314222
137,114105,4,2,0.000246475,0.196129
138,262144,4,2,0.000344225,0.22669
139,602249,4,2,0.000597577,0.0765165
140,1383604,4,2,0.000973288,0.0884294
141,3178688,4,2,0.00158742,0.0674292
142,7302707,4,2,0.00269135,0.0736351
143,16777216,4,2,0.00521934,0.0336411
224,64,4,4,1.26789e-05,0.576153
225,147,4,4,2.83387e-05,0.546907
226,338,4,4,3.26087e-05,0.431561
227,776,4,4,2.32044e-05,0.378451
228,1783,4,4,2.87802e-05,0.517
229,4096,4,4,2.83583e-05,0.405196
230,9410,4,4,4.70231e-05,0.388345
231,21619,4,4,5.86229e-05,0.414808
232,49667,4,4,0.000113618,0.334135
233,114105,4,4,0.000275127,0.268499
234,262144,4,4,0.000357909,0.129525
235,602249,4,4,0.000623242,0.0406142
236,1383604,4,4,0.00122583,0.0223669
237,3178688,4,4,0.00221424,0.0610048
238,7302707,4,4,0.00403047,0.0234799
239,16777216,4,4,0.00860298,0.0281147
320,64,4,8,1.10266e-05,0.989231
321,147,4,8,2.63518e-05,0.305771
322,338,4,8,2.93687e-05,0.304003
323,776,4,8,2.86719e-05,0.559817
