nbytes,nnodes,ppn,avg,std
142,66614,1,1,4.119e-07,0.901626
207,1602358,1,1,4.335e-07,0.926078
143,69954,1,1,4.761e-07,1.15552
208,1682707,1,1,4.7215e-07,0.991242
144,73462,1,1,4.4505e-07,0.955111
209,1767086,1,1,4.436e-07,0.957471
145,77145,1,1,4.19e-07,0.955674
210,1855697,1,1,4.385e-07,0.960834
146,81014,1,1,4.3405e-07,1.07708
211,1948750,1,1,4.43e-07,0.991939
147,85076,1,1,4.195e-07,0.931474
212,2046470,1,1,4.3055e-07,0.901311
148,89342,1,1,4.205e-07,0.957442
213,2149089,1,1,4.2205e-07,0.861465
149,93823,1,1,4.15e-07,0.893395
214,2256855,1,1,4.435e-07,1.00634
150,98527,1,1,4.2145e-07,0.992871
215,2370025,1,1,4.3805e-07,0.911894
151,103468,1,1,4.4645e-07,0.961245
216,2488869,1,1,4.3695e-07,0.924413
152,108656,1,1,4.22e-07,0.973961
217,2613673,1,1,4.431e-07,0.997486
153,114105,1,1,4.2545e-07,1.00306
218,2744735,1,1,4.24e-07,0.810327
154,119827,1,1,4.5305e-07,1.00625
219,2882369,1,1,4.4145e-07,0.78197
155,125835,1,1,4.2645e-07,1.01094
220,3026905,1,1,4.5e-07,1.0065
156,132145,1,1,4.1705e-07,0.921171
221,3178688,1,1,4.406e-07,0.952027
157,138772,1,1,4.224e-07,1.02885
222,3338083,1,1,4.5555e-07,0.84853
158,145730,1,1,4.3445e-07,1.08007
223,3505470,1,1,4.565e-07,1.05506
159,153038,1,1,4.6765e-07,0.962091
224,3681251,1,1,4.375e-07,0.928159
160,160712,1,1,4.475e-07,1.03158
225,3865847,1,1,5.8625e-07,1.07529
161,168771,1,1,4.741e-07,1.00077
226,4059699,1,1,4.7515e-07,1.20283
162,177234,1,1,4.365e-07,0.955668
227,4263271,1,1,4.2345e-07,0.874359
163,186121,1,1,4.3605e-07,0.956711
228,4477052,1,1,4.3855e-07,0.941433
164,195454,1,1,4.4305e-07,0.986847
229,4701553,1,1,4.465e-07,0.995009
165,205255,1,1,4.3305e-07,0.910295
230,4937311,1,1,4.445e-07,0.984753
166,215548,1,1,4.44e-07,1.02002
231,5184891,1,1,4.5055e-07,0.992757
167,226356,1,1,4.5395e-07,1.08632
232,5444887,1,1,4.6105e-07,0.905394
168,237707,1,1,4.886e-07,1.10314
233,5717919,1,1,4.545e-07,0.807041
169,249627,1,1,4.4145e-07,0.984844
234,6004643,1,1,4.431e-07,0.966803
170,262144,1,1,4.3555e-07,0.931553
235,6305745,1,1,4.645e-07,0.927306
171,275289,1,1,4.495e-07,1.05743
236,6621945,1,1,4.6865e-07,1.15306
172,289093,1,1,4.685e-07,0.964684
237,6954001,1,1,4.4155e-07,0.904404
173,303590,1,1,4.34e-07,0.902926
238,7302707,1,1,4.415e-07,0.939499
174,318813,1,1,4.5005e-07,1.04511
239,7668900,1,1,4.2245e-07,0.849411
175,334800,1,1,4.3545e-07,0.94755
240,8053455,1,1,4.9515e-07,1.18029
176,351589,1,1,4.5505e-07,1.10348
241,8457294,1,1,4.3955e-07,0.91737
177,369219,1,1,4.6805e-07,1.18204
242,8881383,1,1,4.3895e-07,0.939869
178,387734,1,1,4.4305e-07,0.991549
243,9326738,1,1,4.4905e-07,0.998961
179,407176,1,1,4.3605e-07,0.924775
244,9794425,1,1,4.6455e-07,1.11961
180,427594,1,1,4.476e-07,1.03696
245,10285565,1,1,4.8755e-07,1.06669
181,449036,1,1,4.5255e-07,1.08015
