m,n,k,avg,std
15953,92,54,69,0.000122918,0.079374
15969,67,66,134,0.000191315,0.0435966
15985,914,33,69,0.000192847,0.138288
16033,946,53,52,0.000222717,0.116176
16049,120,77,1014,0.000819994,0.0534497
16065,207,320,45,0.000299798,0.114076
16161,113,2186,101,0.00207051,0.0242962
16193,430,46,57,9.68212e-05,0.215499
16209,546,76,109,0.000341883,0.0839128
16257,158,191,55,0.000164615,0.16113
16289,73,44,1677,0.000660088,0.0615411
16305,262,96,155,0.000329423,0.0916763
16337,181,3677,196,0.0089053,0.00522001
16353,216,985,72,0.0011935,0.0450017
16369,70,1021,218,0.00544622,0.024856
16401,126,51,783,0.00051435,0.0829372
16433,175,178,200,0.000607098,0.0854353
16465,142,141,3139,0.00567561,0.0135327
16513,113,150,194,0.000299773,0.118898
16625,45,33,502,7.74491e-05,0.155183
16641,119,136,1918,0.00322149,0.0180579
16673,94,161,1762,0.00235592,0.0144107
16689,846,143,46,0.000573026,0.0801116
16705,164,2387,164,0.00453168,0.0149224
16753,98,201,268,0.000500655,0.0948332
16817,239,72,230,0.000297549,0.0791955
16865,149,293,152,0.000589214,0.0714747
16929,50,739,107,0.00147953,0.0248898
16977,254,196,88,0.000365747,0.110421
16993,84,86,173,0.000314747,0.0559587
17009,153,3260,53,0.0023871,0.0310055
17025,1386,129,89,0.00151458,0.0437528
17041,198,98,591,0.00117204,0.0223911
17073,139,542,68,0.000469387,0.0653876
17137,103,38,1748,0.000841755,0.0312005
17153,3151,38,151,0.00169757,0.0332989
17201,931,173,34,0.000580865,0.0744752
17233,98,221,72,0.000132586,0.0850104
17249,245,35,33,0.000147671,0.10005
17297,75,49,546,0.000177279,0.101276
17313,1267,154,195,0.00319302,0.0358031
17329,62,150,1881,0.0016398,0.0219984
17345,675,115,145,0.00111741,0.0217134
17377,232,71,406,0.000575922,0.0715872
17521,106,1154,110,0.00114959,0.0226639
17537,100,34,1451,0.000667816,0.0575396
17601,157,1285,81,0.00137861,0.0396367
17617,146,169,2481,0.00501046,0.0013958
17633,100,911,60,0.000565636,0.09705
17681,195,1614,49,0.00142742,0.0379621
17713,305,177,232,0.00100052,0.0178367
17761,180,167,47,0.000133584,0.144507
17873,217,290,231,0.00112667,0.0288324
17889,142,2131,131,0.00304604,0.00894825
18065,1835,39,44,0.000327691,0.142223
18081,1753,225,58,0.00210231,0.0106725
18113,51,60,1103,0.000367668,0.0933599
18129,141,72,80,0.000241439,0.102007
18161,871,80,79,0.000434751,0.0886433
18177,150,56,2162,0.00168578,0.0399878
18193,560,127,37,0.000282159,0.129519
18241,3177,228,179,0.00894246,0.0204825
18273,32,365,227,0.000944547,0.0237029
18321,188,69,315,0.000345289,0.0922654
18337,59,160,108,0.00028266,0.073632
18369,107,3634,127,0.00412396,0.00817337
18385,2091,52,73,0.000671494,0.0612745
18465,286,63,102,0.0001366,0.101202
18513,64,98,4081,0.00265168,0.0189431
18529,92,710,46,0.000917163,0.0304117
18577,68,105,54,0.000139526,0.0644706
18609,78,77,2139,0.00123388,0.0333341
18625,105,32,59,0.000103222,0.122692
18657,33,77,84,7.46697e-05,0.190603
18673,847,89,64,0.000376434,0.0988216
18705,93,3998,130,0.0169594,0.00820882
18721,332,34,53,5.36229e-05,0.208817
18801,1004,137,83,0.00108425,0.0226938
18817,666,161,53,0.000619754,0.0676807
18849,168,1512,49,0.00113018,0.0300696
18865,48,1236,98,0.0020293,0.0184721
18881,201,3739,83,0.004588,0.0197709
18945,62,736,36,0.000486976,0.0267929
18961,62,392,82,0.000614207,0.0394642
18977,101,711,54,0.000420994,0.090884
19041,2254,127,73,0.00208738,0.0144491
19057,45,91,2312,0.000873086,0.0291692
19089,306,115,143,0.000506759,0.083292
19201,108,2729,74,0.00187625,0.0143247
19345,214,182,160,0.000570054,0.0739516
19377,69,1050,207,0.00525696,0.0280366
19425,82,133,1480,0.00149157,0.0356214
19441,127,73,1918,0.00158131,0.0266102
19665,70,96,591,0.000336994,0.120472
19681,206,820,164,0.00200959,0.0224872
19697,332,32,186,0.00019771,0.117701
19729,89,105,185,0.000154339,0.0848255
19873,34,135,173,0.00027538,0.0620882
19905,148,32,429,0.000209639,0.129704
20017,58,2160,212,0.0101131,0.0193351
20049,217,3594,66,0.00386129,0.00822933
20097,57,223,71,0.000263166,0.0655257
20193,603,199,131,0.00130279,0.0311149
20257,70,381,99,0.000829522,0.0431765
20273,60,3435,85,0.00618059,0.00793868
20321,255,127,2766,0.00919597,0.0141344
20337,83,426,46,0.000505186,0.0500328
20369,352,63,126,0.000211635,0.115183
20465,52,189,39,0.000115999,0.0494148
20481,77,151,75,0.000242931,0.0687523
20529,64,44,433,0.000110316,0.208787
20545,354,35,33,0.000220659,0.0988182
20561,65,32,3869,0.00107573,0.0224609
20577,64,36,164,0.000197673,0.0779218
