m,n,k,avg,std
3088,891,57,2566,0.0105314,0.0296947
3104,466,2872,4060,0.327635,0.00282068
3120,1488,1297,2408,0.268497,0.00473272
3136,1007,1196,3575,0.255044,0.00275184
3152,1521,3685,319,0.0996233,0.00976588
3168,1672,1958,1547,0.284933,0.00612463
3184,4011,1386,1824,0.575017,0.00029722
3200,931,2532,3014,0.416513,0.0216558
3216,1006,3604,877,0.182664,0.00728966
3232,2188,3312,175,0.0724512,0.00889964
3248,321,87,3393,0.00761695,0.0290661
3264,472,3289,4023,0.360342,0.0037004
3280,2825,3784,107,0.068079,0.00934171
3296,206,3621,1835,0.0905111,0.00945413
3312,2719,703,3414,0.390206,0.00544476
3328,954,57,2261,0.00973673,0.0170395
3344,394,445,2648,0.0305924,0.00654089
3360,527,3038,2449,0.239783,0.00569697
3376,3521,3058,1068,0.653301,0.00895824
3392,40,4066,61,0.00351869,0.0231566
3408,3907,3822,1501,1.24117,0.000975379
3424,2713,2564,250,0.0981016,0.0140053
3440,538,2162,860,0.0597338,0.00986848
3456,693,883,3761,0.142477,0.00610515
3472,1295,616,881,0.0420059,0.0115998
3488,2573,163,2769,0.0869554,0.00746664
3504,1773,2095,926,0.195768,0.00610916
3520,4021,484,3052,0.353611,0.00464988
3536,603,565,418,0.00971884,0.019512
3552,879,690,3163,0.119246,0.00896865
3568,3072,840,170,0.0334845,0.00921253
3584,3374,327,3324,0.232515,0.0068866
3600,996,3096,3368,0.625324,0.0125925
3616,2741,2548,1715,0.70084,0.0178289
3632,162,656,1595,0.0119256,0.0269284
3648,3413,3789,3348,2.49525,0.00124298
3664,2233,103,848,0.0165208,0.026004
3680,1773,639,411,0.0328312,0.0132071
3696,828,3499,3121,0.521074,0.00545371
3712,3035,2850,96,0.0506323,0.0163215
3728,585,747,3029,0.0885698,0.00522158
3744,2552,3473,3618,1.76564,0.0013245
3760,3754,1932,1288,0.519273,0.00282491
3776,1736,2819,2062,0.577028,0.00318744
3792,342,2026,144,0.00654961,0.003923
3808,841,1035,2471,0.129289,0.0055348
3824,2736,3226,745,0.378001,0.00452131
3840,3518,827,3102,0.529994,0.00987399
3856,844,2495,3970,0.478806,0.00108056
3872,3662,262,3283,0.201028,0.00290027
3888,2751,207,958,0.0379515,0.0138592
3904,520,162,4005,0.0254195,0.0161611
3920,3248,828,722,0.11578,0.00526365
3936,896,3452,3128,0.551779,0.0012211
3952,1875,2972,329,0.101716,0.00467618
3968,1223,2857,847,0.170385,0.00371433
3984,1761,1951,1026,0.212075,0.00640842
4000,596,590,3499,0.0755893,0.00700694
4016,286,359,480,0.0037303,0.0288981
4032,3980,331,3252,0.273798,0.00655895
4048,1612,3588,2514,0.807677,0.00213276
4064,591,425,2098,0.034795,0.00889129
4080,3889,3835,3774,3.20207,0.0420076
4096,2059,950,1529,0.174821,0.00616206
4112,1215,2686,4027,0.752426,0.00301175
4128,379,184,3101,0.0160341,0.0173647
4144,1533,775,1062,0.0796794,0.00861224
4160,3880,1765,232,0.0886932,0.00990654
4176,2007,188,1095,0.0285955,0.0127711
4192,2828,3470,1792,0.975974,0.00265702
4208,1421,3019,2759,0.675383,0.00211623
4224,62,1176,85,0.00212853,0.0343311
4240,1615,1868,1065,0.18879,0.00491175
4256,1783,473,576,0.0304349,0.0127167
4272,253,2173,1068,0.0396771,0.0110789
4288,3902,680,623,0.105154,0.00194926
4304,2052,3131,1721,0.666744,0.00411021
4320,544,93,3303,0.0129459,0.0135074
4336,385,2351,2500,0.137114,0.00450526
4352,3010,1125,3218,0.620654,0.00380427
4368,3289,2666,2743,1.3465,0.00270971
4384,252,1966,3363,0.109475,0.0288225
4400,799,4028,2678,0.520616,0.00823464
4416,1741,944,1118,0.109153,0.0179698
4432,609,51,1106,0.0029361,0.0264356
4448,2121,1450,981,0.172656,0.00595515
4464,3006,1212,3873,0.799875,0.00383782
4480,3543,1019,4039,0.859065,0.00188018
4496,397,3213,900,0.0705367,0.00969468
4512,3376,254,941,0.0509724,0.00968276
4528,3578,1562,2293,0.736178,0.00348202
4544,1305,51,3429,0.0190587,0.0260299
4560,3437,2181,1948,0.812432,0.00430164
4576,2374,164,38,0.00146099,0.0301776
4592,1415,3063,3038,0.764299,0.00320669
4608,923,3912,2142,0.44673,0.00756505
4624,4034,568,1939,0.263555,0.00936968
4640,719,800,185,0.00687782,0.00386382
4656,1062,706,1197,0.0542812,0.014479
4672,3474,3640,2531,1.74506,0.00250611
4688,2998,2616,227,0.0999411,0.00997517
4704,1507,2987,2905,0.736492,0.00272769
4720,1400,3574,370,0.105564,0.00837129
4736,3797,281,1805,0.121009,0.00699724
