nx,ny,nz,nmom,nang,ng,ichunk,node,ppn,thread,solve
0,8,32,32,2,63,39,4,1,64,1,2.757200
0,8,32,32,4,63,8,2,1,64,1,0.856030
0,8,32,32,2,127,128,2,1,64,1,20.671000
0,8,32,32,2,127,11,2,1,64,1,1.308600
0,8,32,32,1,32,86,2,1,64,1,4.542200
0,8,32,32,1,256,128,1,1,64,1,32.031000
0,8,32,32,3,32,57,4,1,64,1,3.032600
0,8,32,32,4,63,11,2,1,64,1,1.193700
0,8,32,32,3,32,8,8,1,64,1,0.296370
0,8,32,32,3,63,86,4,1,64,1,8.393500
0,8,32,32,1,127,17,8,1,64,1,1.243900
0,8,32,32,4,63,26,1,1,64,1,3.317100
0,8,32,32,4,32,128,2,1,64,1,12.450000
0,8,32,32,3,32,39,8,1,64,1,1.636500
0,8,32,32,1,2047,11,2,1,64,1,10.610000
0,8,32,32,1,1023,11,4,1,64,1,5.290700
0,8,32,32,4,127,8,4,1,64,1,1.186500
0,8,32,32,1,127,128,2,1,64,1,16.034000
0,8,32,32,1,256,26,8,1,64,1,3.430000
0,8,32,32,2,256,17,8,1,64,1,2.698800
0,8,32,32,1,4096,8,8,1,64,1,18.211000
0,8,32,32,2,1023,17,2,1,64,1,10.080000
0,8,32,32,2,511,11,2,1,64,1,3.522700
0,8,32,32,4,127,17,2,1,64,1,2.906800
0,8,32,32,3,127,26,8,1,64,1,2.757600
0,8,32,32,3,127,17,1,1,64,1,2.904400
0,8,32,32,2,256,11,8,1,64,1,1.818400
0,8,32,32,1,1023,8,2,1,64,1,3.773900
0,8,32,32,4,32,26,8,1,64,1,1.251000
0,8,32,32,4,1023,26,1,1,64,1,25.517000
0,8,32,32,3,32,86,1,1,64,1,8.141900
0,8,32,32,2,127,128,2,1,64,1,20.671000
0,8,32,32,1,511,39,8,1,64,1,10.441000
0,8,32,32,2,63,128,1,1,64,1,16.846000
0,8,32,32,1,63,26,2,1,64,1,1.709400
0,8,32,32,4,1023,17,8,1,64,1,15.984000
0,8,32,32,4,32,57,8,1,64,1,3.189300
0,8,32,32,3,256,8,4,1,64,1,1.702000
0,8,32,32,2,511,26,4,1,64,1,7.607500
0,8,32,32,2,2047,8,4,1,64,1,9.083500
0,8,32,32,2,32,17,1,1,64,1,1.082900
0,8,32,32,3,63,128,1,1,64,1,19.616000
0,8,32,32,2,63,128,1,1,64,1,16.846000
0,8,32,32,1,256,128,2,1,64,1,25.175000
0,8,32,32,4,256,86,4,1,64,1,28.157000
0,8,32,32,2,127,26,4,1,64,1,2.704400
0,8,32,32,1,32,86,1,1,64,1,6.189700
0,8,32,32,2,63,17,4,1,64,1,1.135800
0,8,32,32,3,63,11,4,1,64,1,0.864270
0,8,32,32,4,256,26,8,1,64,1,6.314400
0,8,32,32,3,127,11,4,1,64,1,1.345300
0,8,32,32,2,256,128,4,1,64,1,29.478000
0,8,32,32,4,127,86,2,1,64,1,18.910000
0,8,32,32,3,63,17,1,1,64,1,1.938700
0,8,32,32,4,32,57,4,1,64,1,3.714000
0,8,32,32,2,32,128,8,1,64,1,5.592200
0,8,32,32,1,4096,8,4,1,64,1,16.818000
0,8,32,32,1,1023,11,8,1,64,1,5.375800
0,8,32,32,2,511,17,8,1,64,1,4.943000
0,8,32,32,4,127,8,8,1,64,1,1.175700
0,8,32,32,3,127,17,1,1,64,1,2.904400
0,8,32,32,2,256,8,4,1,64,1,1.385200
0,8,32,32,3,511,17,8,1,64,1,6.282600
0,8,32,32,2,32,57,4,1,64,1,2.542900
0,8,32,32,3,63,17,8,1,64,1,1.143100
0,8,32,32,3,63,57,8,1,64,1,3.994600
0,8,32,32,1,32,57,1,1,64,1,3.686000
0,8,32,32,1,256,8,2,1,64,1,1.292400
0,8,32,32,2,127,17,1,1,64,1,2.527900
0,8,32,32,4,127,11,4,1,64,1,1.679900
0,8,32,32,1,511,8,1,1,64,1,2.393800
0,8,32,32,1,1023,11,1,1,64,1,5.837900
0,8,32,32,2,32,26,8,1,64,1,0.919140
0,8,32,32,2,127,86,2,1,64,1,12.596000
0,8,32,32,4,4096,8,2,1,64,1,36.778000
0,8,32,32,4,256,8,8,1,64,1,2.152100
0,8,32,32,3,63,39,8,1,64,1,2.785800
0,8,32,32,3,511,11,8,1,64,1,4.213400
0,8,32,32,2,511,26,8,1,64,1,7.343400
0,8,32,32,1,127,128,4,1,64,1,12.846000
0,8,32,32,1,32,128,1,1,64,1,9.498600
0,8,32,32,2,1023,26,4,1,64,1,14.346000
0,8,32,32,4,32,128,2,1,64,1,12.450000
0,8,32,32,4,256,11,4,1,64,1,2.875100
0,8,32,32,4,32,11,4,1,64,1,0.639120
0,8,32,32,4,32,57,2,1,64,1,4.331100
0,8,32,32,4,256,8,1,1,64,1,2.392900
0,8,32,32,2,127,26,4,1,64,1,2.704400
0,8,32,32,2,256,128,2,1,64,1,32.445000
0,8,32,32,2,127,86,4,1,64,1,10.439000
0,8,32,32,4,1023,26,1,1,64,1,25.517000
0,8,32,32,1,32,57,1,1,64,1,3.686000
0,8,32,32,4,63,8,1,1,64,1,1.024300
0,8,32,32,1,32,17,8,1,64,1,0.496660
0,8,32,32,2,256,17,1,1,64,1,3.692500
0,8,32,32,3,32,8,8,1,64,1,0.296370
0,8,32,32,2,32,17,8,1,64,1,0.565770
0,8,32,32,4,256,57,2,1,64,1,17.276000
0,8,32,32,3,511,17,4,1,64,1,6.383600
0,8,32,32,3,511,17,4,1,64,1,6.383600
0,8,32,32,1,256,26,8,1,64,1,3.430000
0,8,32,32,4,32,57,8,1,64,1,3.189300
0,8,32,32,3,4096,8,1,1,64,1,26.822000
0,8,32,32,3,127,86,4,1,64,1,12.922000
0,8,32,32,4,256,128,4,1,64,1,45.541000
0,8,32,32,1,63,57,4,1,64,1,3.356700
0,8,32,32,2,63,57,2,1,64,1,5.164300
0,8,32,32,2,1023,17,8,1,64,1,9.568900
0,8,32,32,3,1023,26,1,1,64,1,20.098000
0,8,32,32,2,127,39,4,1,64,1,3.948800
0,8,32,32,2,256,128,2,1,64,1,32.445000
0,8,32,32,2,511,57,4,1,64,1,18.895000
0,8,32,32,3,63,8,2,1,64,1,0.731530
0,8,32,32,1,63,39,8,1,64,1,1.745800
0,8,32,32,3,256,57,4,1,64,1,12.677000
0,8,32,32,3,256,86,1,1,64,1,29.093000
0,8,32,32,4,32,8,8,1,64,1,0.360610
0,8,32,32,3,1023,8,2,1,64,1,5.668800
0,8,32,32,2,256,86,4,1,64,1,19.402000
0,8,32,32,1,256,8,2,1,64,1,1.292400
0,8,32,32,2,63,39,1,1,64,1,4.281900
0,8,32,32,1,127,17,1,1,64,1,2.211300
0,8,32,32,1,2047,11,2,1,64,1,10.610000
0,8,32,32,3,32,57,2,1,64,1,3.636400
0,8,32,32,4,4096,8,2,1,64,1,36.778000
0,8,32,32,1,32,128,2,1,64,1,6.983900
0,8,32,32,4,127,86,4,1,64,1,16.459000
0,8,32,32,1,32,11,4,1,64,1,0.423720
0,8,32,32,4,63,39,1,1,64,1,5.393100
0,8,32,32,1,32,8,8,1,64,1,0.215350
0,8,32,32,2,63,39,8,1,64,1,2.269900
0,8,32,32,1,256,57,8,1,64,1,8.470700
0,8,32,32,1,511,26,2,1,64,2,5.786400
0,8,32,32,1,256,57,8,1,64,2,6.941100
0,8,32,32,1,4096,8,4,1,64,2,16.922000
0,8,32,32,4,511,17,1,1,64,2,7.626500
0,8,32,32,1,127,128,8,1,64,2,10.158000
0,8,32,32,4,256,128,2,1,64,2,39.194000
0,8,32,32,1,32,11,2,1,64,2,0.525500
0,8,32,32,2,32,57,2,1,64,2,2.964100
0,8,32,32,3,127,26,2,1,64,2,2.880900
0,8,32,32,1,1023,11,2,1,64,2,4.991300
0,8,32,32,3,32,8,1,1,64,2,0.489320
0,8,32,32,1,511,57,4,1,64,2,13.750000
0,8,32,32,2,127,86,4,1,64,2,9.239700
0,8,32,32,4,1023,11,1,1,64,2,10.007000
0,8,32,32,2,1023,8,8,1,64,2,4.406400
0,8,32,32,2,1023,17,1,1,64,2,9.312900
0,8,32,32,2,63,8,8,1,64,2,0.474920
0,8,32,32,3,256,39,8,1,64,2,6.503800
0,8,32,32,1,256,57,4,1,64,2,7.489400
0,8,32,32,4,1023,11,1,1,64,2,10.007000
0,8,32,32,2,63,11,4,1,64,2,0.687690
0,8,32,32,3,127,17,1,1,64,2,2.500500
0,8,32,32,3,127,8,8,1,64,2,0.897320
0,8,32,32,1,127,8,2,1,64,2,0.709060
0,8,32,32,4,127,39,2,1,64,2,5.601400
0,8,32,32,1,32,11,2,1,64,2,0.525500
0,8,32,32,1,32,8,8,1,64,2,0.245470
