nnodes,ppn,nthreads,nbodies,dist,ncrit,level,order,Initialize_bodies,Partition,Precalculation,Build_tree,P2M_&_M2M,Local_essential_tree,M2L_&_P2P,L2L_&_L2P,Total_FMM
0,1,1,2,512,cube,44,1,7,0.000363,0.000769,3e-06,0.000649,0.051001,0.003864,0.427188,0.00249,0.487039
0,1,1,2,1290,cube,86,0,5,0.000469,0.001127,4e-06,0.000738,0.0471,0.003601,0.102544,0.001481,0.157603
0,1,1,2,512,cube,44,2,6,0.000373,0.000917,6e-06,0.000705,0.047933,0.006558,0.27457,0.001846,0.333501
0,1,1,2,6020,cube,30,1,3,0.001376,0.003593,5e-06,0.004815,0.051972,0.020896,0.219612,0.004584,0.306537
0,1,1,2,1756,cube,72,3,1,0.00065,0.001717,6e-06,0.000871,0.050942,0.032635,0.026891,0.000844,0.115013
0,1,1,2,8192,cube,128,1,2,0.002182,0.005422,7e-06,0.005069,0.048966,0.018695,0.184116,0.004661,0.268077
0,1,1,2,1756,cube,100,2,7,0.000738,0.001853,8e-06,0.001299,0.051915,0.008444,0.28174,0.003077,0.349394
0,1,1,2,6020,cube,4,2,4,0.001396,0.004088,6e-06,0.017208,0.058216,0.264742,1.91187,0.011887,2.26937
0,1,1,2,8192,cube,114,1,0,0.002133,0.005426,6e-06,0.004768,0.048683,0.021598,0.134223,0.003782,0.219725
0,1,1,2,8192,cube,18,2,4,0.001865,0.005234,6e-06,0.010151,0.056348,0.107551,0.75171,0.009064,0.941209
0,1,1,2,3250,cube,58,0,4,0.001063,0.002582,6e-06,0.002465,0.052794,0.007858,0.125203,0.00296,0.195022
0,1,1,2,512,cube,100,2,7,0.000344,0.000791,4e-06,0.000296,0.04833,0.002091,0.104011,0.001548,0.157981
0,1,1,2,696,cube,72,4,5,0.000569,0.001442,8e-06,0.000724,0.051213,0.233054,0.161069,0.001676,0.450305
0,1,1,2,6020,cube,30,4,1,0.001795,0.005155,8e-06,0.005012,0.052585,1.79518,0.114344,0.003199,1.9768
0,1,1,2,948,cube,58,1,0,0.000488,0.001221,6e-06,0.000541,0.051001,0.003108,0.017146,0.000474,0.074637
0,1,1,2,8192,cube,30,2,5,0.002127,0.005766,7e-06,0.007184,0.057954,0.052172,0.664855,0.00945,0.798478
0,1,1,2,6020,cube,100,0,2,0.00169,0.003898,7e-06,0.003634,0.053484,0.012151,0.131174,0.003319,0.208825
0,1,1,2,6020,cube,4,1,5,0.001436,0.00367,7e-06,0.019458,0.06432,0.111879,3.40808,0.016888,3.62548
0,1,1,2,6020,cube,44,2,8,0.001433,0.003953,6e-06,0.007214,0.061791,0.055297,2.55786,0.016356,2.7036
0,1,1,2,8192,cube,4,3,4,0.001886,0.005852,6e-06,0.021131,0.064385,1.95762,2.42223,0.015423,4.48784
0,1,1,2,3250,cube,18,4,6,0.001196,0.003322,7e-06,0.004916,0.054854,1.79993,1.05198,0.006316,2.9225
0,1,1,2,6020,cube,18,3,3,0.001594,0.004811,8e-06,0.006118,0.054073,0.302299,0.244673,0.004647,0.617757
0,1,1,2,948,cube,18,2,1,0.000444,0.001107,3e-06,0.000725,0.050725,0.010301,0.025352,0.000681,0.089853
0,1,1,2,2390,cube,72,0,1,0.000715,0.001664,4e-06,0.001099,0.05036,0.004908,0.038106,0.001138,0.098343
0,1,1,2,696,cube,58,1,4,0.000474,0.001166,7e-06,0.000699,0.050016,0.003233,0.095463,0.001334,0.152834
0,1,1,2,2390,cube,18,1,8,0.000729,0.001801,3e-06,0.004992,0.056378,0.025313,2.51986,0.010005,2.61939
