m,n,avg,std
25607,12332,133,0.0649836,0.0042934
25623,3206,181,0.02436,0.00827592
25639,360,139,0.0018405,0.0224998
25655,3414,339,0.0725334,0.00600551
25671,786,111,0.00299996,0.0249783
25687,13520,68,0.026292,0.00649584
25703,2338,73,0.00394581,0.00948135
25719,1118,207,0.0121599,0.0145486
25735,3312,110,0.0112922,0.00684132
25751,444,284,0.00755255,0.0192402
25767,21519,74,0.0441216,0.00985211
25783,2153,82,0.00471503,0.00673954
25799,488,424,0.0144021,0.00873233
25815,1267,1037,0.139153,0.00571329
25831,2276,470,0.0765564,0.00988601
25847,7762,138,0.0373168,0.00950401
25863,2228,119,0.00954261,0.00813952
25879,1995,132,0.00904227,0.0168413
25895,3481,321,0.0653995,0.00761078
25911,1421,87,0.00363889,0.0193433
25927,204,69,0.00050966,0.0499007
25943,6904,142,0.0342412,0.00963579
25959,642,93,0.00185698,0.0355112
25975,1056,790,0.0769121,0.00437701
25991,162,70,0.00046192,0.0645362
26007,145,95,0.000683819,0.0331724
26023,6814,272,0.0956425,0.00607151
26039,993,152,0.00606033,0.00956639
26055,797,201,0.00806144,0.0175545
26071,19275,91,0.0614019,0.00436118
26087,975,419,0.0302865,0.00998952
26103,5620,298,0.093797,0.0037203
26119,336,75,0.000647867,0.0397461
26135,624,171,0.00478985,0.017737
26151,868,465,0.0293597,0.00504962
26167,3812,108,0.0119527,0.0119601
26183,407,198,0.00409893,0.0144646
26199,457,434,0.0147032,0.00668661
26215,3228,78,0.0060213,0.00703566
26231,333,145,0.0018668,0.0251407
26247,408,92,0.00114346,0.0257349
26263,7420,163,0.0457318,0.00272564
26279,5830,139,0.0279196,0.00838681
26295,298,127,0.00156683,0.0305918
26311,4036,424,0.112004,0.00958738
26327,1733,878,0.152933,0.00794275
26343,935,871,0.0787718,0.00245512
26359,1817,198,0.0168938,0.00435835
26375,6487,135,0.0299448,0.00203133
26391,1215,81,0.0025203,0.0208488
26407,2386,67,0.00358732,0.021216
26423,8592,73,0.0155137,0.0066584
26439,1695,68,0.0024558,0.0208586
26455,3151,87,0.00773488,0.00682881
26471,606,143,0.00356922,0.0248011
26487,12619,94,0.0433733,0.00626809
26503,201,115,0.000972295,0.0443047
26519,411,74,0.000720269,0.0271177
26535,356,137,0.00178848,0.0292735
26551,149,131,0.0010095,0.030314
26567,467,196,0.0043454,0.0196988
26583,3048,381,0.0744489,0.0067121
26599,1327,64,0.00162537,0.0403746
26615,860,184,0.00720014,0.00990087
26631,1888,149,0.0118316,0.00965858
26647,1382,680,0.0813462,0.00587838
26663,669,340,0.0157277,0.00895562
26679,190,74,0.000538327,0.0804113
26695,9196,133,0.0440479,0.00982418
26711,4316,94,0.0122795,0.00994165
26727,1119,116,0.00451505,0.0188523
26743,876,166,0.00632073,0.00963645
26759,8212,94,0.0290555,0.00888511
26775,230,116,0.00103579,0.0221499
26791,578,314,0.0118675,0.0127019
26807,734,90,0.00189285,0.0243338
26823,437,80,0.000860933,0.034157
26839,150,125,0.000962932,0.028336
26855,2381,437,0.0734335,0.00538611
26871,4861,85,0.0107446,0.00979573
26887,1838,205,0.0180282,0.00996467
26903,1004,68,0.00143072,0.0324258
26919,8207,146,0.0540698,0.0020575
26935,561,114,0.0020849,0.0287345
26951,344,283,0.00575161,0.0130926
26967,22148,90,0.0680599,0.00977927
26983,1372,819,0.10761,0.00814701
26999,144,144,0.000836369,0.0216508
27015,139,92,0.000617041,0.0260158
27031,4209,100,0.0108511,0.00890033
27047,1182,934,0.106979,0.00956628
27063,3516,286,0.0576852,0.00989317
27079,529,101,0.00158527,0.0245782
27095,352,233,0.00416664,0.017077
27111,699,295,0.0140278,0.00802375
27127,1307,568,0.0586537,0.00665953
27143,9323,149,0.0573134,0.00412398
27159,124,96,0.000648567,0.0283621
27175,15764,85,0.045826,0.00491526
27191,4972,335,0.0999082,0.00975837
27207,205,111,0.000948044,0.0441075
27223,270,201,0.00250131,0.0306324
27239,818,357,0.0198255,0.00943368
27255,7016,218,0.0706467,0.00850283
27271,1333,278,0.0238876,0.00457613
27287,211,167,0.00166571,0.0329966
27303,1602,129,0.00755255,0.00903777
27319,1388,72,0.00222343,0.0218055
27335,11085,77,0.0252269,0.0341259
27351,6783,222,0.0729997,0.029754
27367,4192,114,0.0150919,0.00405966
27383,4428,74,0.0073057,0.0219379
27399,6018,129,0.0238749,0.00947952
27415,3006,168,0.0194861,0.0099876
27431,1918,719,0.12819,0.00989595
27447,554,421,0.0172851,0.00880264
27463,829,72,0.00124658,0.0343308
27479,955,72,0.00141617,0.0232816
27495,3902,207,0.0370182,0.00357714
27511,152,80,0.000550545,0.0450923
27527,5245,118,0.0195888,0.00188277
27543,754,112,0.0026077,0.0162121
27559,580,405,0.0170517,0.0113163
27575,1014,92,0.00280532,0.0300434
27591,192,72,0.000504038,0.0686836
27607,1842,167,0.0129488,0.00416345
27623,3388,438,0.102298,0.00992216
27639,11919,68,0.0224162,0.00995504
27655,14297,89,0.0452453,0.00997967
27671,331,295,0.00644685,0.0142349
27687,3478,121,0.0157081,0.170925
27703,178,94,0.000678976,0.0220561
27719,257,107,0.00101433,0.0391351
27735,11211,102,0.0368951,0.00964742
27751,2547,103,0.00760961,0.00759121
27767,663,434,0.0221687,0.0137979
27783,169,122,0.000998869,0.0386571
27799,529,225,0.00636204,0.018652
27815,7350,131,0.031066,0.00368835
27831,2925,132,0.0127197,0.00359004
27847,116,96,0.000623858,0.0416825
27863,205,165,0.0015599,0.0386401
27879,326,70,0.000598408,0.0430085
27895,12934,130,0.0644662,0.00800357
27911,1214,396,0.032974,0.00684995
27927,255,122,0.00121711,0.0383516
27943,3550,291,0.0584036,0.00979731
27959,10509,165,0.0737004,0.00773999
27975,25909,74,0.053201,0.00352548
27991,475,140,0.00248496,0.0335392
28007,355,317,0.00751093,0.0169629
28023,554,102,0.0015273,0.0244197
28039,4383,172,0.0294278,0.00885687
28055,6751,139,0.0327674,0.00758559
28071,13911,64,0.0253593,0.0022022
28087,3353,104,0.00933589,0.0129763
28103,823,218,0.0095914,0.00667351
28119,343,296,0.00633307,0.00985443
28135,1741,78,0.00339485,0.0214023
28151,2074,410,0.0576279,0.0070242
28167,204,190,0.00183729,0.0398123
28183,888,78,0.00159628,0.0265426
28199,1041,116,0.00428302,0.0128291
28215,283,214,0.00287956,0.0247622
28231,2031,184,0.0160648,0.00612748
28247,3455,249,0.0441398,0.00265987
28263,181,149,0.001248,0.0266914
28279,105,95,0.000563126,0.0350249
28295,831,67,0.00120494,0.0292415
28311,5296,287,0.0877894,0.00959234
28327,538,391,0.0161398,0.0126776
28343,1891,550,0.0826455,0.00895532
28359,4139,230,0.0468591,0.00281465
28375,258,154,0.00169778,0.0322832
28391,3149,70,0.00487924,0.00678062
28407,4596,104,0.0124063,0.00483725
28423,298,268,0.00420914,0.0198147
28439,487,433,0.0161497,0.00500023
28455,20256,78,0.0462907,0.00265136
28471,1139,643,0.0639465,0.00545592
28487,457,71,0.000773344,0.0515004
28503,949,70,0.00144586,0.0367862
28519,4753,152,0.0259987,0.007582
28535,3553,340,0.0719406,0.00553373
28551,6949,138,0.0316021,0.00413945
28567,1702,163,0.0113726,0.00984589
28583,1764,129,0.00766088,0.00355517
28599,136,111,0.000973794,0.0382923
28615,2324,691,0.143935,0.00978357
28631,7210,165,0.0453945,0.00427738
28647,3924,374,0.092031,0.00978922
28663,305,192,0.0023781,0.033396
28679,2320,72,0.00368405,0.0196834
28695,5515,301,0.0905493,0.00857987
28711,962,78,0.00180945,0.0286335
28727,4761,207,0.0449336,0.00468544
28743,2199,501,0.0837921,0.00656701
28759,265,110,0.00102378,0.0317346
28775,2247,119,0.00958861,0.0114933
28791,2319,256,0.0310112,0.00693999
28807,23724,70,0.0447613,0.00252536
28823,3362,540,0.138482,0.00968771
28839,2450,322,0.0468267,0.00963531
28855,778,334,0.0178928,0.0134547
28871,821,159,0.006085,0.00995315
28887,5434,241,0.0630753,0.00432265
28903,1707,222,0.0202881,0.0043714
28919,16148,100,0.0548797,0.00415343
28935,1103,378,0.0291572,0.0123608
28951,1429,172,0.0106927,0.0132285
28967,1545,261,0.0235775,0.00999873
28983,2220,283,0.0375009,0.0133667
28999,9655,130,0.045492,0.00569291
29015,5462,116,0.0245716,0.00769236
29031,2767,176,0.0196321,0.00987303
29047,844,675,0.0491282,0.00998752
29063,1537,386,0.0456642,0.0120227
29079,1955,636,0.105975,0.00651852
29095,887,486,0.0351075,0.00929366
29111,537,257,0.00816629,0.0100975
29127,4634,98,0.0123088,0.00997321
29143,870,96,0.00206349,0.0192286
29159,1078,764,0.0754519,0.00448664
29175,3100,151,0.0187312,0.00383652
29191,391,333,0.0090695,0.00705897
29207,1024,172,0.00920235,0.00851834
29223,10509,86,0.0291771,0.00938579
29239,575,410,0.0174297,0.0163918
29255,2788,512,0.104979,0.00943351
29271,811,80,0.00143454,0.0301593
29287,640,98,0.00162656,0.0301009
29303,1230,262,0.018776,0.0135852
29319,16069,68,0.0314213,0.00420697
29335,297,116,0.00121221,0.032758
29351,26047,65,0.0479622,0.00497722
29367,1057,374,0.0276506,0.0148489
29383,663,149,0.00415341,0.016047
29399,12785,140,0.0715198,0.00412117
29415,887,295,0.0175104,0.00994475
29431,15644,99,0.0568014,0.0049912
29447,508,181,0.00460022,0.00648019
29463,2450,80,0.00515076,0.00520681
29479,6690,189,0.0563096,0.0279466
29495,1372,858,0.113897,0.0228688
29511,3177,594,0.153143,0.00975075
29527,1126,74,0.00182958,0.0331715
29543,21288,72,0.0416122,0.00953515
29559,17732,94,0.0609074,0.00464173
29575,1722,252,0.0234111,0.012298
29591,1218,92,0.0034373,0.0231811
29607,1203,187,0.0109081,0.0127869
29623,582,328,0.0124653,0.0181265
29639,6187,71,0.00939731,0.0084728
29655,4904,104,0.0133864,0.00994074
29671,289,65,0.000484239,0.0470505
29687,598,533,0.0247518,0.009417
29703,19322,90,0.0597001,0.00365312
29719,274,205,0.00260822,0.033669
29735,471,110,0.00163316,0.0382085
29751,1430,279,0.0245625,0.0123031
29767,262,254,0.00350496,0.0245483
29783,16278,120,0.0780824,0.00554432
29799,1494,149,0.00915326,0.0151632
29815,13711,72,0.0274362,0.0095095
29831,249,159,0.0017482,0.0348657
29847,6175,190,0.0509193,0.00764571
29863,761,81,0.00153574,0.0401169
29879,963,79,0.00194858,0.0277017
29895,614,183,0.00556593,0.0171279
29911,1527,519,0.0638166,0.00961356
29927,9969,68,0.0178025,0.00985814
29943,218,180,0.00175849,0.0294162
29959,1448,124,0.0066561,0.00912664
29975,1952,300,0.0344008,0.00991239
29991,5231,126,0.0234726,0.00368326
30007,179,124,0.000980495,0.0248886
30023,294,114,0.00119047,0.0409397
30039,1276,249,0.0177361,0.0136037
30055,670,176,0.00510866,0.00915148
30071,524,207,0.00582313,0.0165603
30087,723,78,0.0013097,0.0252891
30103,998,250,0.0142747,0.0129513
30119,158,72,0.000468647,0.0317471
30135,215,201,0.00212302,0.0292628
30151,1287,113,0.0050073,0.00992068
30167,7720,111,0.0270502,0.0104221
30183,736,216,0.00797041,0.0089704
30199,382,128,0.00156533,0.0246632
30215,3489,94,0.00998504,0.0148823
30231,1308,286,0.0229246,0.0124541
30247,819,108,0.00271742,0.0351503
30263,17881,80,0.043301,0.00954921
30279,1249,1053,0.137575,0.00435457
30295,1966,115,0.00774417,0.0208353
30311,1349,533,0.0576748,0.00658263
30327,1688,102,0.00499954,0.00989657
30343,1883,421,0.0551951,0.00981941
30359,151,145,0.00110674,0.0232019
30375,12484,103,0.0435242,0.00616663
30391,2097,192,0.016956,0.00156835
30407,1936,340,0.0406323,0.00958285
30423,1160,592,0.0539259,0.00624462
30439,1394,918,0.12605,0.00985052
30455,770,702,0.0489947,0.00997016
30471,509,365,0.0141688,0.00974465
30487,198,142,0.00123859,0.0334903
30503,630,549,0.0270644,0.0132543
30519,674,76,0.00112177,0.0573928
30535,2613,669,0.156466,0.00594825
30551,18737,97,0.0582019,0.00967513
30567,1183,82,0.00253313,0.0244857
30583,1104,389,0.0305117,0.0117317
30599,173,103,0.000771556,0.0555384
30615,11392,91,0.0355827,0.00797118
30631,1624,115,0.00662811,0.00612062
30647,1942,259,0.0280441,0.00982971
30663,888,200,0.00835266,0.0155906
30679,1041,349,0.0253621,0.00741294
30695,1010,131,0.0048523,0.0209331
30711,607,296,0.0116785,0.0147668
30727,845,164,0.00582344,0.00534198
30743,802,92,0.00215439,0.0217219
30759,2984,276,0.0446943,0.00225427
30775,5625,73,0.00876355,0.00581945
30791,3220,297,0.0548423,0.0097819
30807,292,78,0.000663717,0.0430447
30823,306,182,0.0024244,0.0193988
30839,254,163,0.00180229,0.0273494
30855,563,160,0.00359847,0.0261226
30871,145,82,0.000557657,0.0589002
30887,11589,85,0.0324695,0.00309117
30903,1995,593,0.0969825,0.00739374
30919,3322,135,0.0152922,0.00280581
30935,1859,106,0.00609137,0.00993509
30951,2066,318,0.0405708,0.00992288
30967,164,111,0.000835708,0.0320403
30983,470,84,0.00103554,0.0346899
30999,16178,90,0.0515008,0.00351672
31015,2118,86,0.00509733,0.00997686
31031,246,94,0.00083419,0.041145
31047,1250,98,0.00344983,0.020367
31063,1142,146,0.00663636,0.00806727
31079,604,177,0.00478837,0.0201101
31095,14031,82,0.0370474,0.00457201
31111,1575,774,0.119067,0.0089163
31127,5622,98,0.0140685,0.00532876
31143,324,69,0.000599425,0.0791607
31159,181,89,0.000706495,0.0365354
31175,2589,475,0.0909756,0.00969492
31191,2796,439,0.0868326,0.00489621
31207,2399,417,0.0683985,0.00558114
31223,1305,413,0.0379953,0.00827754
31239,621,145,0.00371704,0.026003
31255,906,279,0.0162283,0.00805278
31271,1077,524,0.04374,0.0120877
31287,6832,269,0.101869,0.00684912
31303,1991,478,0.0704321,0.00472273
31319,2433,732,0.168271,0.00853821
31335,3599,166,0.0230779,0.00308856
31351,28517,69,0.0542332,0.00975208
31367,1043,97,0.00290666,0.0246357
31383,304,104,0.000923431,0.0240737
31399,516,170,0.00412079,0.0356187
31415,3178,255,0.044305,0.00775365
31431,1853,78,0.00354876,0.0133101
31447,1553,128,0.00666714,0.00915337
31463,3764,475,0.129014,0.00574838
31479,304,97,0.000862675,0.0467962
31495,4778,170,0.0314554,0.00519614
31511,378,184,0.00299116,0.0264078
31527,852,524,0.0337789,0.00626548
31543,217,121,0.00110702,0.0419524
31559,5514,120,0.0208635,0.00441872
31575,4388,71,0.00686925,0.018657
31591,995,107,0.00335596,0.0197738
31607,24328,75,0.049757,0.00702224
31623,999,217,0.011533,0.0162388
31639,2649,89,0.00709071,0.00815125
31655,1218,718,0.0793859,0.00561481
31671,247,76,0.000553337,0.0520073
31687,2402,708,0.153488,0.00297747
31703,310,263,0.00487052,0.022052
31719,1523,389,0.0411856,0.00995648
31735,96,70,0.000315146,0.0718732
31751,402,344,0.00954363,0.0243762
31767,1211,1041,0.134275,0.030255
31783,12559,117,0.0565333,0.00879136
31799,226,197,0.00204993,0.0189439
31815,234,96,0.000702198,0.0399561
31831,1816,576,0.0809841,0.00773433
31847,229,189,0.00209217,0.0362039
31863,3808,165,0.0239901,0.0146123
31879,1629,230,0.0193176,0.0138809
31895,876,131,0.00424027,0.0186492
31911,1182,370,0.0292126,0.0115926
31927,759,108,0.00247561,0.0175751
31943,1968,111,0.00741967,0.00663756
31959,77,73,0.000302747,0.0519127
31975,591,235,0.00809599,0.0106243
31991,208,158,0.00145106,0.0251496
32007,1875,894,0.172574,0.00786098
32023,800,709,0.0492768,0.00993477
32039,1325,81,0.00276445,0.0170486
32055,4248,211,0.040966,0.00446554
32071,742,67,0.00104545,0.0346852
32087,154,123,0.00096408,0.019556
32103,185,167,0.00154018,0.0309053
32119,1301,152,0.00792152,0.0153012
32135,977,833,0.0772415,0.00972772
32151,1328,624,0.0670711,0.00982259
32167,150,118,0.000856049,0.0274103
32183,11334,157,0.0797306,0.00291839
32199,3700,504,0.133656,0.00886279
32215,757,693,0.0468936,0.00968724
32231,4418,81,0.00890006,0.00165315
32247,5678,195,0.0456273,0.004868
32263,13315,142,0.0829119,0.00721653
32279,457,395,0.0134228,0.00957996
32295,955,719,0.0642983,0.00998618
32311,172,83,0.000619019,0.0530978
32327,6595,85,0.0143738,0.00841137
32343,16101,75,0.0361051,0.00686371
32359,2443,404,0.0646424,0.00621791
32375,89,67,0.00027918,0.0649492
32391,706,137,0.00358814,0.0196095
32407,327,99,0.000962408,0.0269573
32423,2909,131,0.0127159,0.0097956
32439,3523,532,0.143267,0.00990416
32455,5868,111,0.0204746,0.0119602
32471,6113,97,0.0154968,0.00913371
32487,8731,133,0.0419906,0.00326012
32503,936,196,0.00876761,0.00948321
32519,1712,88,0.00420173,0.0272528
32535,4132,73,0.00688661,0.0178092
32551,1261,1019,0.136453,0.00284074
32567,1138,743,0.0774301,0.00917616
32583,10112,79,0.0229557,0.0044264
32599,1367,773,0.104657,0.00993674
32615,936,212,0.0100655,0.0155888
32631,3336,133,0.0149515,0.00983236
32647,718,97,0.00187869,0.025381
32663,970,88,0.00231192,0.0301059
32679,8374,112,0.0305818,0.00326337
32695,795,432,0.0252418,0.00980897
32711,2162,240,0.0257332,0.00966388
32727,4419,332,0.0856047,0.00831736
32743,245,155,0.00168389,0.0375345
32759,7782,81,0.0167469,0.00593143
32775,197,165,0.00151379,0.0318375
32791,951,747,0.0669899,0.00803767
32807,4188,277,0.0635386,0.00718511
32823,260,97,0.000815447,0.043419
32839,914,549,0.0398533,0.00863953
32855,3632,71,0.00569953,0.00677522
32871,3915,281,0.0599844,0.00714239
32887,419,238,0.00578811,0.0174604
32903,439,289,0.00820499,0.0149898
32919,287,102,0.000906712,0.0327254
32935,2002,454,0.0642843,0.0098594
32951,6605,172,0.0439017,0.00312533
32967,671,87,0.00165619,0.0269833
32983,4935,243,0.0602677,0.00975597
32999,357,73,0.000647231,0.0370645
33015,2265,177,0.0169581,0.00528229
33031,480,322,0.00998996,0.00971354
33047,528,389,0.0150143,0.00971829
33063,3359,187,0.02783,0.00801285
33079,1664,303,0.0311126,0.00985418
33095,1194,144,0.00644006,0.0155394
33111,2824,160,0.0165645,0.00605237
33127,14910,92,0.0501005,0.00477806
33143,317,252,0.00439266,0.0251825
33159,243,168,0.00170176,0.0237027
33175,1773,103,0.00546035,0.0178369
33191,544,152,0.00463679,0.233007
33207,542,89,0.00132747,0.0331984
33223,17825,64,0.0306231,0.00643746
33239,802,189,0.00758832,0.00327656
33255,1991,81,0.00419386,0.00984975
33271,10005,119,0.0458188,0.00535898
33287,1091,205,0.0115076,0.00986171
33303,1863,344,0.0399834,0.00889126
33319,325,265,0.00483002,0.0216891
33335,2932,209,0.0281893,0.00941039
33351,2658,547,0.113631,0.00782545
33367,121,66,0.000328933,0.0619942
33383,671,642,0.0382011,0.0092998
33399,5305,126,0.0238562,0.00264665
33415,7657,223,0.0845356,0.00167701
33431,3091,109,0.0106466,0.00639944
33447,12452,103,0.0429994,0.00638075
33463,1101,151,0.00720372,0.0170149
33479,4976,74,0.00818034,0.00607743
33495,777,359,0.0200522,0.00979954
33511,602,64,0.000740924,0.0455128
33527,15595,100,0.0524235,0.00983126
33543,156,139,0.00106691,0.0315619
33559,720,631,0.0375205,0.00925169
33575,1122,486,0.0414009,0.00886804
33591,11678,127,0.0636287,0.00307054
33607,4141,393,0.108929,0.0108273
33623,524,65,0.000744822,0.0393529
33639,1035,361,0.0253358,0.0122895
33655,135,88,0.000595856,0.0308789
33671,7142,116,0.0266057,0.00970229
33687,1214,1092,0.133248,0.00265017
33703,2196,520,0.0840872,0.0096778
33719,1353,819,0.108355,0.00989199
33735,443,370,0.0115002,0.0123196
33751,556,72,0.000850375,0.0361529
33767,78,72,0.00029646,0.0543026
33783,2251,702,0.144823,0.00534618
33799,2550,178,0.0190075,0.00144697
33815,522,194,0.00479849,0.0266285
33831,650,362,0.0162532,0.00937399
33847,4033,174,0.0281285,0.0096006
33863,329,191,0.00297992,0.0262278
33879,2838,141,0.0146453,0.00992382
33895,12531,150,0.080898,0.00356335
33911,7611,148,0.042338,0.00829675
33927,653,550,0.0286612,0.00491225
33943,4392,417,0.119493,0.00733711
33959,11392,76,0.0247582,0.0302046
33975,18869,82,0.0514776,0.0314725
33991,811,386,0.0242963,0.00897922
34007,135,75,0.000464524,0.0534636
34023,3803,256,0.0521125,0.00719595
34039,320,69,0.000582043,0.0439803
34055,150,70,0.000432037,0.0378736
34071,1393,75,0.00258891,0.0366592
34087,6213,174,0.0427859,0.0130775
34103,14127,131,0.0728625,0.00657877
34119,3857,119,0.0154806,0.0121027
34135,9787,76,0.0199702,0.00544558
34151,2177,64,0.00290937,0.0198024
34167,4005,76,0.00678931,0.00389304
34183,2070,529,0.0853323,0.00625933
34199,1884,111,0.00711445,0.0133977
34215,1037,393,0.0290843,0.0130328
34231,2981,166,0.0192782,0.00242236
34247,3004,169,0.0201868,0.00596792
34263,1554,626,0.0822779,0.00942736
34279,400,99,0.00112849,0.0410321
34295,5587,263,0.0784063,0.00861735
34311,534,244,0.00729536,0.00704311
34327,235,76,0.000536963,0.0490789
34343,2834,185,0.0227587,0.0143864
34359,2773,228,0.0306962,0.00645344
34375,3410,180,0.0253716,0.00999043
34391,2973,374,0.0707528,0.00990689
34407,526,154,0.0033761,0.01452
34423,5871,101,0.0154965,0.0048606
34439,3021,414,0.0837523,0.00998816
34455,1552,160,0.00975951,0.013075
34471,3115,68,0.00462168,0.0284806
34487,721,441,0.0242815,0.0133882
34503,1844,80,0.00359448,0.0126819
34519,4509,101,0.012046,0.00488441
34535,1149,1067,0.127482,0.00817309
34551,235,80,0.000575663,0.0405146
34567,1999,73,0.00339413,0.0148687
34583,8696,99,0.0249823,0.00194948
34599,1230,408,0.0337676,0.00994254
34615,722,125,0.00350966,0.0181567
34631,330,118,0.00139252,0.0299327
34647,498,136,0.00237179,0.0163119
34663,574,297,0.0111182,0.00968302
34679,4567,322,0.085615,0.00806045
34695,365,167,0.00264817,0.0237111
34711,194,73,0.000526848,0.0434433
34727,551,189,0.00512764,0.0205521
34743,4806,72,0.00726135,0.00952375
34759,408,66,0.000650962,0.11367
34775,841,289,0.0152986,0.00885489
34791,3724,104,0.0104047,0.00533503
34807,1981,153,0.0122952,0.00988763
34823,257,195,0.00238476,0.0424283
34839,890,71,0.00137768,0.0260987
34855,633,510,0.0257862,0.006765
34871,6841,89,0.0170797,0.00683772
34887,835,319,0.0185444,0.00898128
34903,4772,180,0.0349942,0.00568576
34919,900,195,0.00870126,0.0144161
34935,1781,327,0.0372905,0.00623646
34951,6601,79,0.012713,0.00281309
34967,961,263,0.0156536,0.0150431
34983,3402,238,0.039831,0.00989268
34999,149,88,0.000597452,0.0515002
35015,945,84,0.00210189,0.0299403
35031,8279,228,0.0927682,0.00563342
35047,9374,91,0.0281008,0.00880202
35063,611,221,0.00750752,0.00908129
35079,2316,404,0.0608563,0.00967647
35095,1022,855,0.0850387,0.00342631
35111,2019,336,0.041631,0.00992424
35127,2047,79,0.00455372,0.00980337
35143,319,318,0.00673655,0.0226448
35159,124,113,0.000773926,0.0513132
35175,497,79,0.00107831,0.0477117
35191,6877,223,0.0758116,0.00298867
35207,1556,588,0.0744087,0.00979257
35223,310,126,0.00155213,0.0346532
35239,968,232,0.0115785,0.00528437
35255,1592,262,0.0233794,0.0120704
35271,699,213,0.00805647,0.00692066
35287,335,289,0.005892,0.0159172
35303,4561,136,0.0201568,0.0113136
35319,224,148,0.00133777,0.0299335
35335,5916,155,0.0354888,0.00729072
35351,3865,135,0.0177691,0.00499176
35367,9362,178,0.0760491,0.00479575
35383,5054,320,0.0905511,0.00629065
35399,1054,552,0.0446088,0.00963118
35415,1381,124,0.00642276,0.0091587
35431,1465,414,0.0423398,0.00988192
35447,1224,431,0.0383386,0.00914681
35463,267,64,0.000482084,0.0630977
35479,2108,254,0.0294313,0.00784131
35495,14053,94,0.049842,0.00827799
35511,3009,268,0.0433007,0.00984911
35527,906,206,0.0094979,0.00834491
35543,1025,583,0.0534058,0.00693713
35559,284,196,0.00245361,0.0314632
35575,334,186,0.00287044,0.0280379
35591,8144,178,0.0634885,0.00899642
35607,1812,293,0.0317908,0.00976842
35623,4457,67,0.0064044,0.00632857
35639,7398,261,0.101441,0.00455412
35655,1779,623,0.0974375,0.00908841
35671,849,664,0.0486601,0.0097669
35687,324,303,0.00625527,0.0260452
35703,1903,301,0.0342564,0.00992852
35719,838,436,0.027505,0.0214245
35735,762,553,0.0325909,0.00387172
35751,379,319,0.00844844,0.0186584
35767,1020,398,0.031659,0.00957599
35783,1462,152,0.00867158,0.00833935
35799,194,169,0.00151667,0.0276015
35815,10921,87,0.0351388,0.00996737
35831,247,154,0.0016367,0.038145
35847,6950,152,0.0380184,0.00369574
35863,7414,83,0.0162302,0.0115155
35879,11917,129,0.0590702,0.00782185
35895,11162,160,0.0735914,0.00542576
35911,3627,108,0.0115176,0.00752527
35927,3719,98,0.00970543,0.00686228
35943,8310,80,0.0176554,0.0195354
35959,7304,122,0.0301632,0.0084286
35975,6312,85,0.0141537,0.00838571
35991,367,262,0.00589091,0.0242187
36007,1595,646,0.0906395,0.00756261
36023,993,705,0.0637224,0.00841222
36039,951,827,0.0755347,0.00368193
36055,148,65,0.000378193,0.0557537
36071,6631,117,0.0250322,0.00903685
36087,18771,73,0.0375189,0.00996962
36103,667,232,0.00834899,0.0221326
36119,7921,106,0.0254729,0.0133776
36135,1446,164,0.0096952,0.00520191
36151,1276,67,0.00184529,0.0210837
36167,499,131,0.00238151,0.0378528
36183,16931,74,0.0341712,0.0062193
36199,209,107,0.000846087,0.0310195
36215,873,142,0.00492705,0.00724041
36231,3900,159,0.0254959,0.00968554
36247,1063,155,0.00726468,0.00963677
36263,4427,313,0.0782048,0.00597465
36279,940,67,0.00134732,0.0383258
36295,2100,570,0.0950903,0.00666485
36311,5239,130,0.0211456,0.0145309
36327,3306,157,0.0208446,0.00999433
36343,496,464,0.0165272,0.00897689
36359,409,207,0.00453935,0.0259284
36375,1193,218,0.0135475,0.00974447
36391,3037,224,0.0311403,0.00981725
36407,602,327,0.0136382,0.0099817
36423,6476,93,0.017507,0.00377066
36439,1720,261,0.026054,0.0292041
36455,3841,143,0.0216422,0.0336461
36471,322,127,0.00178751,0.0460343
36487,7237,98,0.0204414,0.00886526
36503,4386,361,0.0973357,0.0290469
36519,273,85,0.000726091,0.039201
36535,161,88,0.000627418,0.0448333
36551,775,131,0.00388368,0.0238772
36567,5790,294,0.094657,0.00736997
36583,162,113,0.000843057,0.0522842
36599,11810,113,0.0489125,0.00613743
36615,2037,102,0.00599012,0.00569172
36631,671,182,0.00592965,0.00855676
36647,237,95,0.00084508,0.0409493
36663,2180,115,0.00850732,0.00945009
36679,1851,203,0.0179608,0.00577681
36695,746,81,0.00150274,0.0496784
36711,379,130,0.00173331,0.0330107
36727,6888,87,0.0159947,0.00738613
36743,588,206,0.00621628,0.0260265
36759,541,210,0.0058652,0.0144026
36775,836,72,0.00123872,0.0463518
36791,3070,338,0.0705077,0.00994861
36807,18500,80,0.0448997,0.0092339
36823,1214,97,0.00326862,0.0176291
36839,1473,786,0.110864,0.011257
36855,213,73,0.000561399,0.0445367
36871,886,385,0.0242224,0.00813637
36887,1051,170,0.00800499,0.0124402
36903,1202,81,0.00250737,0.0171289
36919,2828,455,0.0921228,0.00975072
36935,736,703,0.0475715,0.0099462
36951,1450,624,0.0737818,0.00887171
36967,3692,91,0.0100844,0.0184582
36983,1750,637,0.0964125,0.00677545
36999,1318,183,0.0114665,0.00409916
37015,484,81,0.001004,0.036718
37031,237,127,0.00132537,0.0457115
37047,461,98,0.00120967,0.0273895
37063,1695,101,0.00496036,0.0219302
37079,1583,666,0.0935164,0.0072611
37095,2066,548,0.0884335,0.00981988
