m,n,avg,std
4608,2436,659,0.141138,0.00853319
4624,6216,78,0.0109492,0.00944959
4640,10030,180,0.0825264,0.00638081
4656,16104,80,0.0413411,0.00519578
4672,2123,468,0.0715067,0.00982731
4688,4117,298,0.0755343,0.00589233
4704,1336,116,0.00531296,0.00696512
4720,5368,272,0.0748639,0.00359962
4736,12677,125,0.0659619,0.00574803
4752,10540,84,0.0281885,0.00307126
4768,836,74,0.00140149,0.0478862
4784,2811,84,0.00629853,0.0226241
4800,946,495,0.0362427,0.00648175
4816,399,82,0.000913448,0.0478266
4832,9371,78,0.020207,0.00989802
4848,3583,532,0.158483,0.00981911
4864,3233,140,0.0158297,0.007014
4880,2957,132,0.0127663,0.00969578
4896,2605,77,0.00480832,0.0076805
4912,1601,720,0.103983,0.00508944
4928,8290,166,0.0551245,0.00571589
4944,15417,121,0.0761875,0.00597729
4960,897,552,0.0387249,0.00997064
4976,412,226,0.00482318,0.0195668
4992,218,187,0.00190936,0.0291644
5008,6302,221,0.0664785,0.00413562
5024,2434,725,0.164665,0.00567814
5040,328,203,0.00305222,0.0225333
5056,799,92,0.0021803,0.0353065
5072,7515,69,0.0117771,0.00801405
5088,981,571,0.0466401,0.0099665
5104,4290,283,0.0672839,0.00403939
5120,535,191,0.00532605,0.00970049
5136,330,67,0.000558873,0.0457116
5152,424,194,0.00371693,0.0153847
5168,272,242,0.00302737,0.0320686
5184,2841,97,0.0074529,0.00604131
5200,1098,128,0.00467577,0.01647
5216,12955,138,0.0718417,0.00334632
5232,3050,146,0.0164777,0.0115709
5248,4430,155,0.0268433,0.014645
5264,6184,100,0.0158412,0.0274916
5280,1172,92,0.00329578,0.015149
5296,607,583,0.0299293,0.00871489
5312,107,96,0.000590577,0.036403
5328,15302,74,0.0334701,0.00570459
5344,12155,89,0.0372473,0.00629634
5360,2953,183,0.0235899,0.0031008
5376,749,365,0.0193043,0.0131779
5392,2157,237,0.0267012,0.0118676
5408,367,268,0.00589042,0.00967233
5424,439,359,0.0115943,0.0143184
5440,374,374,0.00928485,0.0140426
5456,1618,356,0.036045,0.00534199
5472,291,283,0.0049653,0.0198104
5488,4470,368,0.100334,0.00701017
5504,12318,145,0.0772394,0.00470489
5520,2510,458,0.0807197,0.00991047
5536,734,78,0.00133737,0.0285208
5552,147,97,0.000675071,0.0286933
5568,520,204,0.00511774,0.00859657
5584,100,81,0.000415568,0.0475103
5600,536,177,0.00420529,0.0205341
5616,3178,115,0.0118917,0.00394756
5632,24206,70,0.0471219,0.00547266
5648,1915,65,0.00266387,0.0162791
5664,217,72,0.000549486,0.050398
5680,3913,188,0.0312394,0.0072469
5696,1424,426,0.0418664,0.00980596
5712,2733,467,0.0976572,0.00937674
5728,1809,123,0.00835653,0.00441389
5744,921,754,0.0639413,0.00696778
5760,1980,541,0.0837096,0.00813728
5776,337,88,0.000904186,0.0367104
5792,184,182,0.00159794,0.0308999
5808,1003,94,0.00299772,0.0122435
5824,760,67,0.00110227,0.0277063
5840,804,544,0.0322797,0.0061217
5856,657,71,0.00106545,0.0316989
5872,354,196,0.00308764,0.0154458
5888,1268,620,0.0650495,0.00732313
5904,4324,145,0.0220402,0.00653109
5920,276,94,0.00090828,0.0318479
5936,9099,64,0.0144196,0.00737101
5952,806,148,0.00483877,0.0079254
5968,379,114,0.00143224,0.0253425
5984,2074,426,0.060685,0.00994102
6000,1172,344,0.0272693,0.0300084
6016,2109,367,0.0547133,0.00921414
6032,601,464,0.0216526,0.0279849
