m,n,k,avg
0,128,256,128,0.000445353
0,2048,128,512,0.0114659
0,2048,512,32,0.00348228
0,512,1024,32,0.00163144
0,1024,512,256,0.0091671
0,128,512,512,0.00303451
0,32,32,256,0.000222347
0,256,2048,512,0.0192797
0,32,2048,256,0.00846207
0,2048,64,2048,0.0224104
0,4096,32,64,0.000854308
0,256,1024,128,0.00247029
0,512,512,4096,0.0615727
0,32,256,4096,0.00352493
0,512,128,4096,0.0195878
0,64,2048,128,0.00636525
0,4096,4096,1024,0.696705
0,128,64,64,0.000170579
0,256,32,32,0.000173469
0,512,4096,256,0.0287444
0,64,64,512,0.000193937
0,1024,128,2048,0.022316
0,128,128,1024,0.00177504
0,2048,4096,64,0.0321235
0,4096,128,32,0.00187126
0,1024,1024,32,0.00340946
0,256,64,4096,0.00485565
0,128,4096,1024,0.0354625
0,256,4096,4096,0.200688
0,32,1024,128,0.00200805
0,2048,32,1024,0.00809715
0,64,512,64,0.000706642
0,4096,64,2048,0.0381253
0,256,128,256,0.000831186
0,32,128,512,0.000408135
0,512,64,2048,0.00582057
0,64,4096,1024,0.0229278
0,128,2048,128,0.00329378
0,4096,512,512,0.063746
0,1024,32,1024,0.00381608
0,128,32,128,0.000144095
0,2048,1024,32,0.00633641
0,512,2048,32,0.00340473
0,64,128,1024,0.000875315
0,1024,256,64,0.00152238
0,128,1024,512,0.00555307
0,32,4096,64,0.00340906
0,2048,2048,2048,0.534704
0,4096,1024,256,0.0565006
0,4096,256,256,0.0158457
0,1024,2048,64,0.0107729
0,256,512,2048,0.0196823
0,32,512,1024,0.00232511
0,64,256,128,0.000723033
0,2048,256,512,0.019876
0,512,256,1024,0.0103103
0,64,1024,128,0.0032526
0,4096,2048,4096,1.39395
0,256,256,32,0.000282381
0,32,64,1024,0.000280218
0,512,32,64,0.000108028
0,1024,4096,2048,0.45034
0,64,32,512,0.000128451
0,1024,64,2048,0.0118459
0,128,256,256,0.000796816
0,2048,128,256,0.00587633
0,2048,512,256,0.0175544
0,512,1024,64,0.00268504
0,128,64,2048,0.00170657
0,1024,512,32,0.00180757
0,128,512,4096,0.0186469
0,32,32,128,0.000103064
0,256,2048,1024,0.0368588
