,nbytes,nnodes,ppn,avg,std
1870,2908,1,2,6.2391e-06,0.98479
1871,3054,1,2,9.30855e-06,1.21731
1872,3207,1,2,7.29855e-06,1.00754
1873,3368,1,2,7.24175e-06,0.997168
1874,3537,1,2,8.5281e-06,0.844848
1875,3714,1,2,7.5529e-06,0.985396
1876,3900,1,2,1.02277e-05,1.06505
1877,4096,1,2,9.8379e-06,1.19873
1878,4301,1,2,1.26733e-05,1.33774
1879,4517,1,2,9.28085e-06,1.3293
1880,4744,1,2,6.5291e-06,0.638448
1881,4981,1,2,9.7416e-06,1.05185
1882,5231,1,2,1.30992e-05,1.25735
1883,5494,1,2,7.91515e-06,0.743766
1884,5769,1,2,8.4997e-06,0.638833
1885,6058,1,2,9.01885e-06,1.04896
1886,6362,1,2,9.29865e-06,0.997128
1887,6681,1,2,9.17765e-06,0.948149
1888,7016,1,2,9.20095e-06,0.840662
1889,7368,1,2,9.09795e-06,0.633826
1890,7737,1,2,8.60235e-06,0.796391
1891,8125,1,2,1.50669e-05,1.07701
1892,8533,1,2,8.27065e-06,0.597112
1893,8961,1,2,1.03058e-05,0.969074
1894,9410,1,2,1.18826e-05,1.30567
1895,9882,1,2,1.16358e-05,1.19465
1896,10378,1,2,1.18545e-05,1.26616
1897,10898,1,2,1.15668e-05,0.796867
1898,11444,1,2,1.21657e-05,0.743601
1899,12018,1,2,1.05094e-05,0.581745
1900,12621,1,2,1.29855e-05,1.20591
1901,13254,1,2,1.07193e-05,0.485829
1902,13918,1,2,9.8533e-06,0.303326
1903,14616,1,2,1.32892e-05,0.695856
1904,15349,1,2,1.21096e-05,0.636703
1905,16119,1,2,1.05279e-05,0.262976
1906,16927,1,2,1.42119e-05,0.927461
1907,17776,1,2,1.25995e-05,0.46278
1908,18667,1,2,1.23971e-05,0.31955
1909,19603,1,2,1.5367e-05,0.945532
1910,20587,1,2,1.77516e-05,0.900252
1911,21619,1,2,1.78608e-05,1.19232
1912,22703,1,2,1.60907e-05,0.809274
1913,23841,1,2,1.57239e-05,0.59911
1914,25037,1,2,1.75461e-05,0.87705
1915,26292,1,2,2.33836e-05,0.75856
1916,27611,1,2,1.8709e-05,0.868963
1917,28995,1,2,2.46881e-05,0.943343
1918,30449,1,2,1.78602e-05,0.441338
1919,31976,1,2,1.85785e-05,0.446608
1920,33580,1,2,1.74674e-05,0.140829
1921,35263,1,2,1.93096e-05,0.341835
1922,37032,1,2,2.07323e-05,0.339571
1923,38889,1,2,2.78573e-05,0.630349
1924,40839,1,2,1.99286e-05,0.151003
1925,42886,1,2,2.24845e-05,0.420876
1926,45037,1,2,2.55882e-05,0.697207
1927,47295,1,2,2.2026e-05,0.131796
1928,49667,1,2,2.48961e-05,0.330372
1929,52158,1,2,3.43901e-05,0.594145
1930,54773,1,2,2.68783e-05,0.2759
1931,57520,1,2,3.10883e-05,0.772692
1932,60404,1,2,4.34494e-05,0.730762
1933,63433,1,2,2.94727e-05,0.285463
1934,66614,1,2,2.88948e-05,0.111427
1935,69954,1,2,3.80088e-05,0.853043
1936,73462,1,2,3.80239e-05,0.371477
1937,77145,1,2,3.94832e-05,0.804089
1938,81014,1,2,5.27244e-05,0.778539
1939,85076,1,2,4.24752e-05,0.769475
1940,89342,1,2,4.44438e-05,0.418417
1941,93823,1,2,4.01585e-05,0.197346
1942,98527,1,2,4.27089e-05,0.259218
1943,103468,1,2,5.29866e-05,0.351171
1944,108656,1,2,5.35201e-05,0.311997
1945,114105,1,2,5.50894e-05,0.335091
1946,119827,1,2,6.16557e-05,0.383041
1947,125835,1,2,0.00010737,0.130181
1948,132145,1,2,0.000185191,0.337463
1949,138772,1,2,0.000116447,0.33489
1950,145730,1,2,0.000197614,0.247566
1951,153038,1,2,0.00013289,0.29312
1952,160712,1,2,0.00020534,0.294372
1953,168771,1,2,0.000216525,0.248271
1954,177234,1,2,0.000233127,0.273455
1955,186121,1,2,0.000241762,0.204165
1956,195454,1,2,0.000157883,0.22222
1957,205255,1,2,0.000265376,0.25258
1958,215548,1,2,0.000273911,0.208068
1959,226356,1,2,0.00027824,0.210616
1960,237707,1,2,0.000181602,0.243752
1961,249627,1,2,0.00019296,0.271622
1962,262144,1,2,0.00031992,0.209833
1963,275289,1,2,0.000336698,0.207468
1964,289093,1,2,0.000222545,0.225801
1965,303590,1,2,0.00038761,0.146577
1966,318813,1,2,0.000358321,0.17045
1967,334800,1,2,0.000272335,0.186061
1968,351589,1,2,0.000273326,0.246565
1969,369219,1,2,0.000403797,0.158058
1970,387734,1,2,0.000426228,0.144786
1971,407176,1,2,0.000340961,0.204098
1972,427594,1,2,0.000441897,0.141962
1973,449036,1,2,0.000381336,0.19454
1974,471552,1,2,0.000479365,0.12711
1975,495198,1,2,0.000486305,0.145487
1976,520030,1,2,0.000511439,0.153213
1977,546107,1,2,0.000469334,0.173141
1978,573491,1,2,0.000492872,0.171163
1979,602249,1,2,0.00050279,0.164343
1980,632448,1,2,0.000532577,0.163617
1981,664162,1,2,0.000583744,0.145506
1982,697467,1,2,0.000627808,0.148655
1983,732441,1,2,0.000619693,0.152824
1984,769169,1,2,0.000697644,0.135253
1985,807739,1,2,0.000679979,0.133561
1986,848243,1,2,0.000704114,0.139932
1987,890778,1,2,0.000736202,0.137908
1988,935446,1,2,0.000753839,0.140276
1989,982353,1,2,0.000807804,0.137118
1990,1031613,1,2,0.000824539,0.137281
1991,1083343,1,2,0.000870119,0.158979
1992,1137667,1,2,0.000938243,0.148479
1993,1194715,1,2,0.000914409,0.138394
1994,1254624,1,2,0.000977805,0.15976
1995,1317537,1,2,0.00100017,0.14655
1996,1383604,1,2,0.00102373,0.146476
1997,1452985,1,2,0.00107417,0.166505
1998,1525844,1,2,0.00110892,0.154482
1999,1602358,1,2,0.00114601,0.159285
2000,1682707,1,2,0.00119145,0.166889
2001,1767086,1,2,0.00123419,0.160118
2002,1855697,1,2,0.0012822,0.160163
2003,1948750,1,2,0.00132357,0.159541
2004,2046470,1,2,0.00138417,0.165907
2005,2149089,1,2,0.00147737,0.162449
2006,2256855,1,2,0.00150998,0.168595
2007,2370025,1,2,0.00156832,0.17022
2008,2488869,1,2,0.00162409,0.166986
2009,2613673,1,2,0.00160524,0.189463
2010,2744735,1,2,0.00178617,0.173154
2011,2882369,1,2,0.00178028,0.0870428
2012,3026905,1,2,0.00187878,0.171149
2013,3178688,1,2,0.00196929,0.182354
2014,3338083,1,2,0.00201857,0.194913
2015,3505470,1,2,0.0020835,0.189743
2016,3681251,1,2,0.00216262,0.142487
2017,3865847,1,2,0.00238394,0.171049
2018,4059699,1,2,0.00243629,0.203184
2019,4263271,1,2,0.00251591,0.212276
2020,4477052,1,2,0.00257075,0.190975
2021,4701553,1,2,0.00269854,0.136687
2022,4937311,1,2,0.00280786,0.130082
2023,5184891,1,2,0.00291171,0.19012
2024,5444887,1,2,0.00298378,0.161528
2025,5717919,1,2,0.00326753,0.0896651
2026,6004643,1,2,0.0033156,0.122983
2027,6305745,1,2,0.00345383,0.146692
2028,6621945,1,2,0.00354155,0.108467
2029,6954001,1,2,0.00366749,0.0689341
2030,7302707,1,2,0.00383927,0.124769
2031,7668900,1,2,0.00397882,0.129971
2032,8053455,1,2,0.0042294,0.118511
2033,8457294,1,2,0.00431983,0.0907648
2034,8881383,1,2,0.00456206,0.115673
2035,9326738,1,2,0.00469541,0.0604589
2036,9794425,1,2,0.00491598,0.0696932
2037,10285565,1,2,0.00513938,0.080851
2038,10801332,1,2,0.00543033,0.0817061
2039,11342962,1,2,0.00564919,0.1001
2040,11911753,1,2,0.00610371,0.0937815
2041,12509065,1,2,0.00619488,0.091579
2042,13136329,1,2,0.00644998,0.0681468
2043,13795047,1,2,0.00672733,0.0814333
2044,14486797,1,2,0.00701474,0.0691598
2045,15213234,1,2,0.00739583,0.0738738
2046,15976098,1,2,0.00777881,0.0955278
2047,16777216,1,2,0.0080657,0.0718885
3584,64,1,4,4.28045e-06,1.80063
3585,67,1,4,3.1073e-06,0.855613
3586,71,1,4,9.16415e-06,1.22593
3587,74,1,4,5.4265e-06,1.16982
3588,78,1,4,4.7209e-06,0.836695
3589,82,1,4,4.30455e-06,1.14561
3590,86,1,4,6.31685e-06,1.40028
3591,90,1,4,4.0395e-06,1.2916
3592,95,1,4,4.5599e-06,1.22265
3593,99,1,4,4.6487e-06,1.08368
3594,104,1,4,5.1428e-06,2.07097
3595,110,1,4,4.44725e-06,1.14091
3596,115,1,4,4.17015e-06,1.45667
3597,121,1,4,3.33615e-06,0.835904
3598,127,1,4,5.48075e-06,1.308
3599,133,1,4,5.05385e-06,1.12886
3600,140,1,4,3.61245e-06,0.688514
3601,147,1,4,9.29395e-06,0.905034
3602,154,1,4,4.4364e-06,1.20348
3603,162,1,4,5.36195e-06,1.21839
3604,170,1,4,6.70345e-06,1.39109
3605,179,1,4,4.8082e-06,1.59927
3606,188,1,4,4.50625e-06,1.15054
3607,197,1,4,4.89285e-06,1.15752
3608,207,1,4,5.5804e-06,1.259
3609,217,1,4,5.22e-06,1.1451
3610,228,1,4,5.9927e-06,1.31008
3611,240,1,4,3.7209e-06,0.729582
3612,252,1,4,4.326e-06,1.03174
3613,264,1,4,5.21795e-06,0.959103
3614,278,1,4,5.62e-06,1.2655
3615,292,1,4,6.43685e-06,1.04388
3616,306,1,4,5.64955e-06,0.846454
3617,322,1,4,4.2136e-06,0.77442
3618,338,1,4,7.0608e-06,1.51171
3619,355,1,4,5.11025e-06,1.36837
3620,373,1,4,3.37075e-05,2.69733
3621,391,1,4,3.52182e-05,2.47035
3622,411,1,4,7.4192e-06,0.787117
3623,431,1,4,1.0366e-05,0.679602
3624,453,1,4,8.4962e-06,0.778227
3625,476,1,4,7.2978e-06,0.7822
3626,500,1,4,7.74835e-06,0.876946
3627,525,1,4,3.27949e-05,2.81179
3628,551,1,4,8.13275e-06,0.792974
3629,579,1,4,7.7048e-06,0.828651
3630,608,1,4,1.06493e-05,1.67605
3631,638,1,4,5.6599e-05,2.26855
3632,670,1,4,1.08481e-05,1.81325
3633,704,1,4,3.08012e-05,3.1225
3634,739,1,4,1.0383e-05,1.10143
3635,776,1,4,2.19744e-05,1.36257
3636,815,1,4,1.11091e-05,1.04553
3637,856,1,4,8.80395e-06,0.944343
3638,899,1,4,3.47935e-05,2.72838
3639,944,1,4,8.2355e-06,0.867103
3640,991,1,4,1.16757e-05,0.864665
3641,1041,1,4,3.3479e-05,3.04104
3642,1093,1,4,1.07089e-05,0.997796
3643,1148,1,4,8.11475e-06,1.0418
3644,1205,1,4,1.47868e-05,1.07991
3645,1266,1,4,8.0001e-06,0.869109
3646,1329,1,4,3.42148e-05,2.55485
3647,1396,1,4,9.4448e-06,0.785798
3648,1466,1,4,1.05144e-05,1.13492
3649,1539,1,4,1.01248e-05,0.848397
3650,1617,1,4,1.15643e-05,1.11353
3651,1698,1,4,1.16204e-05,1.04115
3652,1783,1,4,3.9971e-05,2.60078
3653,1872,1,4,3.94789e-05,2.88232
3654,1966,1,4,9.1057e-06,0.886365
3655,2065,1,4,4.78934e-05,2.96396
3656,2168,1,4,4.33984e-05,2.49654
3657,2277,1,4,1.94355e-05,1.27983
3658,2391,1,4,6.47645e-05,2.25721
3659,2511,1,4,4.05966e-05,2.22236
3660,2637,1,4,1.91168e-05,1.25962
