nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
1193,16,16,31,3,9,0,4,4,4,1,64,1,0.197146,0.350696
1223,19,31,30,1,1,7,4,4,4,1,64,1,1.116284,0.640933
1232,17,23,21,4,5,0,4,4,4,1,64,1,0.236129,0.369678
1235,30,24,18,2,5,2,4,4,4,1,64,1,0.700432,0.743856
1238,32,30,18,4,1,4,4,4,4,1,64,1,0.354078,0.981136
5,26,26,24,5,9,13,4,4,4,1,64,1,0.446341,0.604984
12,30,24,16,6,9,11,4,4,4,1,64,1,0.323953,0.436346
19,25,23,28,0,2,9,4,4,4,1,64,1,1.291649,2.344082
29,26,28,26,5,6,0,4,4,4,1,64,1,0.466158,0.939233
38,31,17,17,3,1,1,4,4,4,1,64,1,0.206455,1.351387
69,16,29,25,2,3,2,4,4,4,1,64,1,0.571938,0.508147
72,28,22,18,3,6,8,4,4,4,1,64,1,0.266580,2.258571
80,17,31,20,6,2,4,4,4,4,1,64,1,0.317249,0.658421
88,17,22,17,4,3,10,4,4,4,1,64,1,0.243453,0.282472
93,22,23,17,6,0,10,4,4,4,1,64,1,0.421526,0.391158
119,29,25,20,0,7,13,4,4,4,1,64,1,1.128825,0.728551
161,20,20,31,3,3,9,4,4,4,1,64,1,0.288288,0.562368
180,23,29,24,1,3,8,4,4,4,1,64,1,1.016225,0.691007
186,25,29,21,5,6,2,4,4,4,1,64,1,0.358463,1.769077
201,27,16,24,2,1,10,4,4,4,1,64,1,0.840645,0.435898
244,18,26,16,4,4,6,4,4,4,1,64,1,0.281227,0.327160
267,16,23,28,4,2,11,4,4,4,1,64,1,0.278241,0.675253
276,19,19,27,0,7,10,4,4,4,1,64,1,1.251892,0.559970
313,18,28,23,0,4,9,4,4,4,1,64,1,0.996025,0.554697
345,21,28,19,6,6,13,4,4,4,1,64,1,0.334887,1.048011
348,22,18,22,4,5,3,4,4,4,1,64,1,0.239484,0.484735
425,23,24,31,6,4,0,4,4,4,1,64,1,0.422087,0.774302
432,25,31,18,5,3,7,4,4,4,1,64,1,0.614095,0.642028
451,28,20,17,1,5,0,4,4,4,1,64,1,0.575117,0.405060
456,18,26,31,2,1,6,4,4,4,1,64,1,1.040497,0.595154
463,19,17,24,6,8,1,4,4,4,1,64,1,0.269893,0.600684
471,18,26,27,4,2,11,4,4,4,1,64,1,0.309983,1.115195
521,28,17,27,5,6,3,4,4,4,1,64,1,0.352977,0.776388
522,27,21,30,5,6,13,4,4,4,1,64,1,0.430864,1.295167
530,22,19,26,0,0,3,4,4,4,1,64,1,0.725411,0.456613
533,22,32,16,2,6,4,4,8,2,1,64,1,0.475944,0.692835
