nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
10947,26,22,19,4,2,1,2,2,1,32,4,1,0.153309,0.069508
47189,59,26,30,2,9,7,1,1,1,64,1,1,0.462360,0.044125
2985,75,57,35,2,0,1,4,4,2,2,32,1,3.298557,1.850699
42405,123,82,22,3,9,11,2,1,1,64,2,1,0.383239,0.232817
22766,114,22,35,0,5,3,4,1,1,16,4,1,2.221247,0.213688
36193,48,23,46,2,9,11,2,1,1,32,2,1,0.559820,0.098326
39726,25,59,64,6,6,11,1,1,2,64,2,1,0.729778,0.169064
18126,39,51,42,3,5,12,2,2,2,8,8,1,0.222477,1.955807
23899,49,16,47,0,8,3,2,1,2,16,4,1,0.933525,0.141422
31443,17,67,79,2,5,9,1,2,2,32,4,1,1.114921,0.158074
5347,81,19,119,6,5,0,4,1,4,8,16,1,1.762920,1.477089
45030,17,21,19,3,6,7,1,1,1,64,1,1,0.033634,0.018291
6364,63,45,17,5,4,7,4,4,2,4,32,1,0.738549,0.986144
6271,24,78,110,5,6,10,1,2,4,8,8,1,1.423509,0.951868
10693,76,111,60,0,4,7,2,4,2,4,16,1,16.614508,8.547921
20410,39,76,45,5,9,1,2,2,2,16,8,1,1.314523,0.647938
4719,61,21,27,3,6,7,8,2,2,2,32,1,0.283916,4.204390
9151,67,40,68,0,8,0,2,2,4,4,16,1,5.800864,2.106743
5513,18,44,114,4,9,10,1,2,8,4,16,1,0.588733,0.546782
1332,57,88,17,0,9,2,1,2,1,64,2,1,2.194211,0.135436
1979,95,52,28,6,3,3,4,4,2,2,32,1,1.473412,3.040002
2781,35,91,85,1,2,1,1,4,2,16,8,1,2.540547,1.290822
30459,89,121,101,4,4,13,1,2,2,32,4,1,5.190108,3.048639
2135,33,35,19,2,3,10,4,4,4,2,64,1,1.327606,0.936143
9251,17,44,51,3,8,6,1,2,2,16,4,1,0.101901,0.123834
2790,56,22,53,3,1,13,2,1,2,16,4,1,0.154507,0.241725
4791,33,102,70,6,2,3,1,4,4,8,16,1,2.182634,2.046522
8036,28,108,56,1,3,2,2,8,4,1,64,1,2.936698,5.336329
43384,56,89,88,1,6,13,1,1,1,64,1,1,2.418188,0.279450
11707,39,21,43,6,9,5,2,2,4,8,16,1,0.585154,0.390512
12589,27,18,68,5,4,10,1,1,2,64,2,1,0.350721,0.097948
14458,22,23,25,2,0,6,1,1,1,64,1,1,0.129681,0.018730
43919,33,48,70,3,3,13,1,1,1,64,1,1,0.137925,0.133412
15127,17,50,41,5,9,11,2,8,4,2,64,1,0.650811,0.807062
16285,28,29,24,5,9,8,2,2,2,8,8,1,0.202931,0.135089
11281,72,87,71,4,4,12,1,2,1,32,2,1,1.989259,0.773811
2878,65,78,85,5,4,2,2,2,2,16,8,1,3.441000,3.021939
4982,47,18,104,0,1,9,4,1,8,4,32,1,2.730098,1.004056
