nxP,nyQ,nzR,coarsen_type,relax_type,interp_type,P,Q,R,nthreads,ppn_count,nnodes,wall_time2,wall_time
2227,20,17,24,1,0,2,2,1,2,16,4,1,0.110139,0.041065
34645,18,27,22,3,4,8,1,2,1,32,2,1,0.055316,0.036616
14571,16,22,16,3,6,10,2,2,2,8,8,1,0.066126,0.068620
4017,20,17,24,6,1,10,2,2,2,8,8,1,0.119455,0.072223
19008,24,17,26,5,8,11,2,2,2,16,8,1,0.220106,0.165447
18080,28,27,16,2,0,13,2,2,2,8,8,1,0.244298,0.083443
17674,26,18,28,1,5,11,2,2,2,8,8,1,0.192479,0.100683
783,27,19,21,0,7,8,4,4,4,1,64,1,0.996623,0.579631
9475,18,30,29,1,6,10,2,4,2,4,16,1,0.304272,0.267470
44479,30,26,30,5,3,8,1,1,1,64,1,1,0.158476,0.034873
43776,25,19,16,4,9,1,1,1,1,64,1,1,0.058517,0.018278
6389,21,26,23,6,8,8,2,4,4,4,32,1,0.304828,0.377286
30548,29,16,17,6,1,11,2,1,2,32,4,1,0.149248,0.067033
3654,20,32,29,3,9,7,2,2,2,16,8,1,0.164923,0.144389
23191,21,19,30,3,6,11,2,1,2,16,4,1,0.063314,0.063191
493,20,18,23,0,1,7,4,4,4,1,64,1,1.149284,0.847775
4784,22,17,28,5,0,9,2,2,4,8,16,1,0.257516,0.159621
46191,25,26,24,5,3,12,1,1,1,64,1,1,0.115278,0.027843
24294,26,17,20,5,4,11,2,1,2,16,4,1,0.099544,0.047657
25900,19,19,20,2,3,2,2,1,2,16,4,1,0.130945,0.047624
14523,19,32,19,0,2,8,2,2,2,8,8,1,0.402826,0.130360
31208,27,19,28,0,2,7,2,1,2,32,4,1,0.513806,0.090663
432,25,31,18,5,3,7,4,4,4,1,64,1,0.614095,0.642028
7467,18,29,22,1,0,1,2,4,2,4,16,1,0.232080,0.133458
14990,23,22,19,3,1,1,4,4,4,2,64,1,0.238180,1.643520
44401,21,28,23,2,8,4,1,1,1,64,1,1,0.140909,0.025781
35513,21,18,32,3,1,6,1,1,2,32,2,1,0.055271,0.037256
2820,20,27,21,5,3,7,2,2,2,16,8,1,0.254489,0.169741
32674,20,21,19,6,3,12,2,2,1,32,4,1,0.145088,0.069983
9935,25,21,22,6,6,12,2,1,2,32,4,1,0.176982,0.086351
3485,23,21,22,6,0,0,4,2,4,2,32,1,0.202770,0.232261
4682,24,20,27,1,5,0,4,2,4,4,32,1,0.452670,0.294658
15423,16,26,31,0,8,11,2,2,2,8,8,1,0.416289,0.143499
27801,23,28,18,5,8,10,2,2,1,32,4,1,0.188363,0.081645
3641,29,29,22,5,5,11,1,1,1,64,1,1,0.140816,0.025626
8424,17,16,17,0,3,9,2,1,2,16,4,1,0.157262,0.047502
16421,26,23,29,6,1,9,2,2,2,8,8,1,0.183501,0.132232
6275,17,23,20,6,0,11,2,4,4,4,32,1,0.212153,0.188819
14172,31,17,25,0,5,4,2,2,2,8,8,1,0.411952,0.123428
1117,23,18,32,6,1,8,1,1,2,32,2,1,0.119769,0.051076
3088,23,21,24,5,1,9,4,2,4,2,32,1,0.241572,0.274214
1534,22,25,23,1,4,6,4,4,4,2,64,1,1.310899,0.675481
2119,18,18,18,6,2,7,2,2,1,32,4,1,0.141804,0.056268
44956,26,17,19,6,9,4,1,1,1,64,1,1,0.073796,0.021626
25865,21,17,29,5,2,6,2,1,2,16,4,1,0.116375,0.055339
