m,n,p,avg,std
233,14839,2497,64,0.719994,0.00171037
234,26881,2497,64,0.949547,0.00353727
235,48693,2497,64,1.42593,0.00188674
236,88205,2497,64,2.01841,0.00567476
237,159779,2497,64,2.20284,0.00266935
238,289430,2497,64,2.57484,0.0057405
239,524288,2497,64,3.15708,0.00704979
240,8192,4522,64,1.0274,0.00166704
241,14839,4522,64,1.30515,0.00182235
242,26881,4522,64,1.76286,0.00156239
243,48693,4522,64,2.14691,0.00118549
244,88205,4522,64,2.54518,0.00905296
245,159779,4522,64,3.10898,0.00141788
246,289430,4522,64,4.242,0.00565573
247,524288,4522,64,6.11095,0.00423513
248,8192,8192,64,1.65969,0.00127402
249,14839,8192,64,2.34884,0.000960293
250,26881,8192,64,2.934,0.00138436
251,48693,8192,64,3.52172,0.00154359
252,88205,8192,64,4.57723,0.00392604
253,159779,8192,64,6.63005,0.00202859
254,289430,8192,64,10.2408,0.00111363
255,524288,8192,64,17.0127,0.0018973
