m,n,k,avg
0,1001,1601,2190,0.2155
0,1369,179,2995,0.0484387
0,856,1873,32,0.00420993
0,2190,1601,70,0.0153489
0,856,732,626,0.0287489
0,1873,2561,60,0.0222241
0,1873,1001,245,0.0254132
0,51,535,2190,0.00589609
0,535,2561,4096,0.318454
0,209,1601,458,0.0103298
0,626,2561,392,0.0457326
0,2561,626,1001,0.0985914
0,458,1601,1171,0.0543409
0,1369,1873,732,0.113636
0,2190,1001,3503,0.454808
0,392,1873,335,0.0156342
0,1171,245,44,0.00104399
0,3503,3503,535,0.387974
0,112,4096,3503,0.109699
0,732,286,2561,0.0389576
0,458,153,2561,0.0146535
0,245,1369,286,0.00732305
0,2995,51,1873,0.0229335
0,1601,60,392,0.00310729
0,4096,286,245,0.0176772
0,856,3503,179,0.0281816
0,335,1601,458,0.0133207
0,245,3503,732,0.0450957
0,732,2995,626,0.0819733
0,286,3503,1601,0.104972
0,2995,732,2995,0.390396
0,1601,856,1601,0.133515
0,626,1369,2190,0.115086
0,70,1601,2190,0.0263121
0,1369,1001,458,0.0394179
0,153,2995,2995,0.094529
0,1001,209,1601,0.0222659
0,4096,2995,4096,2.64065
0,2190,153,4096,0.102382
0,535,626,96,0.00217195
0,3503,1873,1171,0.43585
0,112,2190,245,0.00480628
0,286,179,179,0.000836348
0,2995,96,335,0.00665672
0,626,458,392,0.00825161
0,2561,3503,153,0.0839372
0,4096,44,1369,0.0240995
0,856,535,3503,0.0994864
0,335,2995,1001,0.0671347
0,1873,732,1873,0.158492
0,732,458,1001,0.0213252
0,1601,4096,70,0.0307546
0,626,3503,179,0.0242847
0,1601,458,535,0.023404
0,458,4096,2561,0.281775
0,1369,2561,245,0.049671
0,1171,335,1873,0.0500245
0,392,2561,732,0.0434956
0,4096,458,209,0.0233813
0,335,153,626,0.0025774
0,535,1171,153,0.0063588
0,3503,1001,60,0.0172133
0,70,286,2190,0.00389078
0,37,4096,2190,0.0359323
0,1601,153,1171,0.0249633
0,626,245,2995,0.0346737
0,2561,44,4096,0.0394462
0,1001,2190,1601,0.202345
0,1369,131,4096,0.0545665
0,2995,153,131,0.00497874
0,856,2561,82,0.0106187
0,856,1001,458,0.0250523
0,1873,3503,153,0.0561911
0,732,4096,286,0.0488346
0,286,2561,1001,0.0490361
0,2995,535,209,0.0203678
0,209,4096,1171,0.067591
0,626,1873,1001,0.0713227
0,245,1601,458,0.0124275
0,2561,458,732,0.0565231
0,1369,1369,1873,0.205024
0,2190,732,2561,0.246978
0,131,3503,732,0.0263911
0,856,335,1873,0.0395562
0,535,458,1873,0.0303761
0,209,286,1873,0.00820196
0,3503,1369,392,0.116514
0,112,2995,2561,0.0637289
0,1873,1601,131,0.0220081
0,1873,51,1873,0.0140572
0,179,179,535,0.00162136
0,2995,335,131,0.00950772
0,1001,2995,245,0.045825
0,1001,96,209,0.0019327
0,4096,209,335,0.0185248
0,2190,2995,335,0.127075
0,335,4096,626,0.0556946
0,3503,179,1171,0.0523703
0,2190,131,1601,0.0414733
0,1873,535,96,0.00658349
0,732,626,2995,0.0845627
0,458,70,4096,0.0102449
0,2995,1001,4096,0.690889
0,1601,1171,4096,0.421795
0,626,1001,856,0.0344513
0,70,2190,2995,0.0455307
0,1369,732,1171,0.0673219
0,153,4096,4096,0.15371
0,4096,626,2995,0.449752
0,2190,112,2995,0.0559798
0,3503,732,856,0.130567
0,1171,3503,112,0.0282117
0,2995,131,245,0.00835375
0,60,335,3503,0.00633793
0,2561,2561,732,0.283647
0,2190,1601,2561,0.528348
0,856,732,1369,0.0566954
0,335,626,732,0.0100832
0,96,856,1873,0.0128795
0,732,1171,392,0.0233955
0,2995,392,96,0.00790141
0,209,1601,1873,0.0396023
0,626,2561,131,0.0157085
0,209,2190,535,0.0177701
0,96,3503,458,0.0124312
0,458,1601,3503,0.15272
0,1369,1873,335,0.0513907
0,2190,1001,1171,0.152842
0,392,1873,1001,0.047164
0,1873,1601,4096,0.684772
0,245,4096,1601,0.107398
0,535,1601,60,0.00416636
0,112,4096,1171,0.0455155
0,732,286,1171,0.0167599
0,286,335,1601,0.0116734
0,37,1601,1601,0.0105748
0,626,179,4096,0.0290178
0,1369,96,458,0.00549772
0,626,1001,153,0.00681931
0,856,3503,60,0.0135692
0,535,179,1369,0.00972346
0,245,3503,2995,0.160877
0,732,2995,209,0.0288206
0,286,3503,392,0.0253999
0,1171,626,1873,0.0850043
0,209,2995,856,0.0406003
0,626,1369,732,0.0407781
0,2561,1171,535,0.100888
0,1369,1001,1369,0.118681
0,2190,535,1873,0.142459
0,458,286,1171,0.0107857
0,82,392,2190,0.00643212
0,535,626,1369,0.0309318
0,3503,1873,3503,1.28326
0,112,2190,1873,0.0345822
0,1873,70,2561,0.0288388
0,2995,96,1001,0.0206762
0,1001,4096,335,0.0737516
0,626,1601,112,0.00738555
0,2190,2190,245,0.0662163
0,335,2995,2995,0.186258
0,3503,70,1601,0.0302567
0,1873,732,70,0.00763811
0,732,458,4096,0.0833641
0,286,1873,856,0.0296821
0,2995,1369,458,0.12007
0,1601,458,2995,0.136847
0,626,732,1171,0.0352201
0,179,3503,1601,0.0634393
0,1369,535,856,0.0361122
0,60,3503,96,0.00694398
0,1001,112,2995,0.0311329
0,4096,458,2190,0.242341
0,3503,1001,626,0.131804
0,1171,2561,153,0.0307761
0,2995,179,179,0.00640979
0,4096,82,2561,0.0628017
0,535,335,335,0.00422737
0,2190,96,3503,0.0569864
0,856,1001,1873,0.0949611
0,335,458,535,0.00588956
0,96,2190,1369,0.0226573
0,286,2561,131,0.00698388
0,732,856,535,0.0217792
0,209,4096,2561,0.129645
0,626,1873,335,0.0268369
0,1601,245,286,0.00718585
0,2561,458,245,0.0167772
0,70,458,112,0.00115267
0,2190,732,856,0.0796985
0,1873,2190,2995,0.694684
0,535,458,626,0.0095375
0,112,2995,856,0.0235178
0,44,3503,4096,0.063419
0,732,209,1601,0.0174398
0,458,732,2190,0.0474966
0,2995,70,626,0.00996834
0,1171,32,2995,0.0108728
0,1601,82,2190,0.0233018
0,2561,82,2190,0.0377748
0,1369,70,626,0.00516082
0,4096,1873,179,0.0791562
0,1873,535,286,0.01748
0,2995,1001,112,0.0203183
0,1171,458,2561,0.08518
0,1601,1171,82,0.009488
0,626,1001,1873,0.0718435
0,2561,856,392,0.0565861
0,1369,732,3503,0.210334
0,2190,392,1369,0.0812244
0,60,1369,2561,0.0207779
0,245,458,3503,0.0293464
0,51,2995,60,0.00304852
0,856,51,3503,0.0144719
0,335,44,535,0.000759569
