msgsize,ppn,nnodes,avg,std
24889,13244799,16,64,0.0107609,0.0393253
15140,642513,2,64,0.00128449,0.246519
62743,697872,8,64,0.00171628,0.17798
30273,221879,64,8,0.000556029,0.203646
16302,16981545,64,16,0.0169954,0.0303802
56764,25922421,16,16,0.0184511,0.0394967
50064,1422353,4,2,0.00109294,0.300009
41597,1503303,32,8,0.00183073,0.0664807
63389,109494,64,16,0.000384645,0.314546
56291,5805275,32,1,0.00275511,0.0324099
58159,950672,1,8,0.000990888,0.160418
7102,327822,8,64,0.00111461,0.248063
446,2301889,4,2,0.00158546,0.175281
4624,3436354,32,1,0.00168924,0.0464055
13780,42190258,1,8,0.0109807,0.0823327
10367,7029712,4,32,0.00570219,0.17209
24109,793881,8,8,0.00118636,0.250894
54442,389438,4,1,0.000162012,0.117222
27919,98356,16,4,0.000172664,0.256386
53771,527174,2,2,0.00040297,0.0775821
11184,329182,4,8,0.000820392,0.368041
8294,616460,8,2,0.000445132,0.084934
49529,483349,8,2,0.000325238,0.0984593
24557,9981483,16,16,0.00772922,0.0595287
9730,173636,2,1,0.000101297,0.218999
7608,20858338,64,8,0.0198212,0.0133711
13382,651514,4,1,0.00026384,0.0944345
2242,74318,32,1,3.71788e-05,0.241198
59341,2631091,2,4,0.0013802,0.0625886
31231,2830860,64,4,0.00294699,0.0384615
27246,13888695,64,32,0.0142429,0.0254079
49962,79357,64,16,0.000283735,0.234782
15873,6670131,64,8,0.00683223,0.0219429
26975,95736,64,16,0.000322798,0.367707
38490,4859867,2,64,0.00340211,0.135425
27618,205143,2,4,0.000290503,0.208299
58045,1487856,16,4,0.00126358,0.034771
64624,7015722,1,128,0.00370095,0.105842
35685,1165169,32,1,0.000606219,0.103708
45025,714642,16,4,0.000750782,0.0615804
13143,4376678,4,16,0.00346341,0.203821
61971,55996677,16,16,0.0380486,0.0209643
46467,2633609,16,4,0.00199989,0.0435345
11162,263112,64,2,0.000311921,0.136476
22786,1272679,4,2,0.00107864,0.390342
28466,1260831,4,4,0.00114548,0.0339385
6574,14556570,64,16,0.0145557,0.0152403
55434,21171737,4,64,0.0189904,0.119871
47677,30956094,16,1,0.0127257,0.00806287
5938,19283046,16,64,0.0152407,0.0361905
51983,82676,16,2,8.72039e-05,0.150001
19948,66438,2,4,0.0001822,0.308418
41697,151453,4,2,0.000147925,0.17986
26690,4190415,16,2,0.00238972,0.0178704
18957,60262745,16,16,0.0434,0.0535461
42133,6369502,4,1,0.00254831,0.0152877
22084,4645683,4,16,0.0035563,0.182688
15809,411885,64,4,0.000966601,0.233151
13756,821615,1,64,0.00155484,0.346201
18376,12417052,32,2,0.00705752,0.0123259
38731,6016711,16,2,0.00332803,0.0121956
54519,40748680,64,16,0.0398622,0.00549143
29735,27953409,4,16,0.0173997,0.080134
36975,69943,64,1,3.50874e-05,0.210625
11111,14363341,2,16,0.00518348,0.0761165
5865,1848511,1,32,0.00158236,0.107513
22108,14209248,8,1,0.00602083,0.00788616
5427,9923158,16,32,0.00774188,0.0178867
16042,34040978,64,4,0.0315812,0.0122577
65516,216411,2,16,0.000649098,0.204268
62380,579796,64,32,0.0019471,0.249452
59941,548507,32,32,0.0014043,0.17534
50807,8487423,32,1,0.00400278,0.0293271
58068,58397424,2,1,0.0190459,0.00228327
19187,943152,4,4,0.000979025,0.0470893
49059,49164291,4,16,0.0324784,0.122634
11568,124261,1,64,0.000622235,0.651629
9313,19386676,1,8,0.00480077,0.088277
37584,473482,64,64,0.00179383,0.217989
6724,135374,2,32,0.000683417,0.448821
54635,54376838,8,16,0.069313,0.170016
10189,333085,32,4,0.000418561,0.114344
3349,544798,4,128,0.00159068,0.348627
63833,30565539,2,64,0.0142841,0.0556608
39846,27267035,16,4,0.0170089,0.00933561
26949,1516906,2,4,0.000963046,0.0658575
1941,34471370,8,64,0.0268289,0.0513771
43497,472847,4,16,0.00100867,0.285636
42564,46119509,64,1,0.0320973,0.00669633
2792,399130,64,32,0.00121587,0.193925
8736,179331,8,128,0.000757885,0.235446
7067,56189673,2,16,0.0198991,0.0194213
19689,398030,1,32,0.00105535,0.275522
12307,655616,16,128,0.00175494,0.190171
1002,317650,8,32,0.000889053,0.238684
63755,37527552,16,4,0.0236792,0.00943602
2964,2627752,2,2,0.0011758,0.0386047
41590,8426152,1,16,0.0040742,0.42254
35667,94889,16,1,3.55857e-05,0.303846
3241,514608,4,2,0.000390015,0.0909313
29988,1906809,1,16,0.00196419,0.370459
51556,277316,64,4,0.000439623,0.102032
42375,968552,16,1,0.000425911,0.0990174
30139,908233,4,1,0.000379341,0.0845664
571,4292432,32,32,0.00430911,0.0732966
790,8997408,16,8,0.00638313,0.0277338
13493,16058008,8,128,0.0138767,0.0487479
3319,4125585,4,8,0.00384602,0.418238
19341,23368081,4,4,0.0123691,0.0458735
8749,2413247,2,64,0.00225734,0.226573
57929,26892540,32,2,0.0153327,0.0126807
18134,2343514,8,8,0.00230856,0.029068
62741,16786185,4,8,0.0111602,0.204559
47209,2423255,1,4,0.000689491,0.137107
51718,492965,8,4,0.000528476,0.127816
47446,7715659,1,4,0.00179793,0.126841
22712,4911722,16,16,0.00425805,0.051065
48432,319326,1,2,9.01021e-05,0.257523
52536,11954187,32,16,0.0096836,0.0435902
833,133713,64,8,0.000369757,0.203426
20979,164456,8,2,0.000171043,0.158413
12037,35211143,16,64,0.0286672,0.0556161
