msgsize,ppn,nnodes,avg,std
62121,320050,16,16,0.000837785,0.241514
35086,214531,8,8,0.000461256,0.249588
56050,283498,16,8,0.000683417,0.275108
61744,656657,4,32,0.00131429,0.311475
2122,301100,4,2,0.000221915,0.136104
22284,65714,32,16,0.000259035,0.277556
49800,207942,8,2,0.000185771,0.178852
15149,280184,4,16,0.000756487,0.292189
47618,285507,16,8,0.000647658,0.233938
19582,157085,64,1,8.16521e-05,0.348085
43794,140958,32,4,0.000243239,0.160804
33970,124072,32,64,0.0005332,0.285003
20498,75253,64,64,0.000411823,0.24872
50430,1029964,16,8,0.00138093,0.0609997
14070,146094,16,32,0.000583559,0.189342
64238,758778,1,128,0.00149555,0.200288
13207,140714,1,128,0.000623652,0.213749
58626,109376,16,2,0.000103886,0.219977
4445,336839,2,128,0.00121505,0.337683
23015,380535,2,32,0.00128223,0.36589
45133,74239,4,64,0.000344059,0.209041
18018,88274,64,2,0.000104479,0.165925
17322,84544,1,32,0.000298118,0.249126
42079,194478,16,1,7.43946e-05,0.19619
6224,247205,32,4,0.0003417,0.132666
40466,711097,16,4,0.000745021,0.0610232
25304,158995,4,2,0.000147503,0.265933
2704,505800,32,8,0.000899499,0.15204
37486,501951,1,64,0.00148139,0.358632
25355,69761,1,8,0.000203546,0.384504
41413,920536,32,8,0.00134957,0.082534
13,297890,1,16,0.00090758,0.379402
27253,899498,64,32,0.00180909,0.0711102
8965,201027,32,1,8.21284e-05,0.197046
60044,941945,32,1,0.000479808,0.143626
16811,214569,2,8,0.000511277,0.218084
33690,483630,4,2,0.000371125,0.102811
2478,100707,2,32,0.000526659,0.52161
610,524764,64,8,0.00155702,0.161813
5604,137016,4,2,0.000176716,0.217047
6402,420142,1,8,0.000702859,0.228429
20337,178587,1,4,0.000211096,0.355066
33581,248016,1,4,0.000183376,0.219964
1975,225241,4,32,0.000859249,0.383557
57377,117828,2,2,0.000132833,0.207002
64771,440685,2,64,0.000981593,0.203645
25986,440821,8,2,0.000328803,0.132522
1450,546925,64,16,0.00174271,0.248628
9588,166186,1,2,8.15191e-05,0.320338
11307,117841,64,4,0.000221452,0.240389
4556,231087,16,128,0.000988783,0.256264
19269,522137,8,2,0.000385008,0.12121
1526,229465,16,64,0.000768859,0.219655
18621,353508,2,32,0.00114321,0.380732
10888,424659,16,16,0.000990405,0.162347
32408,146500,2,1,8.37401e-05,0.263588
40646,99099,8,16,0.000307676,0.278519
11614,735214,32,1,0.00038647,0.0822474
23215,973203,2,4,0.000672563,0.144191
34934,153317,32,2,0.0001676,0.578621
27417,708674,32,16,0.00136704,0.126514
32089,372016,64,128,0.00131987,0.183155
30918,596747,8,8,0.00108192,0.143711
48631,258099,32,32,0.000983498,0.323601
39166,360580,8,32,0.000989256,0.178304
38485,477431,2,16,0.000854669,0.183433
57753,554358,16,64,0.00133007,0.130937
36591,543181,1,4,0.000254557,0.2132
5111,317453,1,8,0.000586152,0.315684
60982,183936,8,32,0.000602971,0.257723
32870,107830,2,16,0.000321396,0.285309
4670,74580,2,4,0.000189004,0.347502
36477,161737,1,16,0.000668243,0.519825
38472,66050,64,4,0.000163764,0.329288
29004,92239,16,16,0.000316673,0.247142
48284,144889,8,32,0.000560767,0.2394
5478,553179,4,4,0.000549226,0.0882731
3021,524157,1,16,0.00115576,0.345785
22508,76178,2,8,0.000229655,0.259333
52123,788517,2,32,0.00162866,0.311097
22604,886191,32,32,0.00175185,0.144841
5723,443531,4,32,0.00103881,0.286749
32644,621632,64,128,0.00219375,0.226534
42240,170773,32,2,0.000173381,0.130361
60693,221873,64,1,0.000120026,0.193055
40874,328194,8,8,0.000676945,0.316723
54039,204414,8,4,0.000273427,0.231402
51698,1023757,1,4,0.000359914,0.183375
57674,547532,4,16,0.00114072,0.271836
1840,85563,4,2,0.000104021,0.233214
41748,150989,8,8,0.00036635,0.292775
6129,765574,64,16,0.00162817,0.146023
65402,116927,4,2,0.000131284,0.251777
7180,111308,4,1,4.3722e-05,0.213623
37592,1018540,32,8,0.0014099,0.0482946
44876,219949,64,16,0.000683204,0.303884
7084,322273,4,32,0.000950463,0.392679
15746,120753,32,16,0.000363978,0.239461
19866,695256,2,4,0.000659137,0.0538724
30788,752237,2,32,0.00163581,0.337371
49293,254136,1,2,8.84702e-05,0.321689
37305,73827,2,16,0.000247622,0.30412
27978,428239,16,32,0.00106207,0.150772
42198,276993,8,2,0.000226278,0.194327
25871,330123,32,4,0.000378921,0.0927658
60020,143722,32,1,5.73064e-05,0.206445
65292,516747,2,8,0.000806698,0.153717
25257,328895,2,2,0.000293006,0.12735
40359,169246,64,8,0.000456287,0.180483
25293,472083,4,1,0.000205941,0.124275
18350,578177,8,1,0.000252922,0.117964
1607,1035455,16,128,0.00197903,0.126614
58636,166792,32,8,0.000378428,0.287455
22790,282866,32,1,0.000116945,0.137204
36743,86973,32,4,0.000156239,0.150555
64760,991727,2,32,0.00163677,0.391053
49310,145997,64,2,0.000205597,0.176067
45194,119112,64,1,5.92267e-05,0.233222
32383,73430,4,4,0.000194672,0.242153
45430,419280,4,32,0.00107612,0.309055
22654,86582,8,2,9.16502e-05,0.282305
549,337353,8,64,0.00117057,0.254028
6047,916135,32,4,0.000927255,0.0388042
33674,599379,4,4,0.000630025,0.0600807
2418,707668,16,1,0.000301162,0.111285
55226,141452,8,2,0.000172715,0.227667
12348,94287,2,128,0.000538744,0.352964
14361,121469,2,4,0.000264517,0.244844
36250,245822,32,4,0.000278451,0.0641232
53129,255385,4,8,0.000656084,0.471289
46707,532777,64,1,0.000784184,0.299992
65038,98157,2,32,0.000497103,0.509231
40058,859936,4,64,0.00142629,0.238594
54075,460063,32,8,0.000824205,0.136795
29529,393191,64,8,0.000983612,0.169616
31363,435486,2,2,0.000330394,0.103044
59747,101562,64,1,4.90662e-05,0.208322
61669,225135,1,128,0.00085911,0.195108
64698,102723,32,4,0.000190954,0.230299
53372,227260,16,16,0.000602704,0.285092
16792,125903,4,4,0.000184568,0.24426
36433,396244,1,128,0.00127217,0.274793
58258,304787,1,8,0.00058329,0.379182
13223,175358,2,32,0.00076194,0.427012
20928,91808,16,8,0.000227518,0.19912
34863,218054,4,64,0.000833462,0.268825
4022,644901,8,4,0.00065969,0.0567523
51883,706275,1,128,0.00143809,0.209697
8519,183565,2,64,0.00070318,0.417041
61627,325886,2,32,0.00120194,0.356337
23153,691728,4,16,0.00120999,0.300955
41624,803810,16,1,0.000364273,0.08223
31414,149314,1,16,0.000525253,0.534064
54845,622593,64,4,0.00129399,0.262592
15891,77277,2,1,9.96179e-05,0.228007
32758,717491,4,2,0.00067448,0.33528
44693,936410,16,64,0.00172843,0.0782533
43176,530712,4,64,0.00124714,0.314887
56826,152008,8,1,6.82893e-05,0.232875
5657,93675,1,2,6.07956e-05,0.329144
35315,141582,64,8,0.000409877,0.242671
8136,127283,64,8,0.000328385,0.233034
2765,368116,8,16,0.000881546,0.256935
33531,609981,32,8,0.00106316,0.128017
62927,434429,16,2,0.000343733,0.112633
31966,422954,2,4,0.000419587,0.130959
27116,220182,2,8,0.000488042,0.228656
20424,82969,1,2,6.58848e-05,0.44234
57657,949375,32,1,0.000484407,0.0918876
18595,146919,32,64,0.000627384,0.418614
21319,167445,2,8,0.000429329,0.226341
11753,96502,4,64,0.000406421,0.219429
28946,199344,32,8,0.000426088,0.302668
55493,437700,2,1,0.000240399,0.118124
6130,92470,4,128,0.000552338,0.525243
56177,97148,1,2,6.61907e-05,0.397716
28703,632247,16,2,0.000538507,0.134265
32840,118401,2,8,0.000270868,0.201524
2583,741616,16,1,0.000321944,0.0901698
16137,788152,32,8,0.00134699,0.149772
3135,149513,64,1,7.47476e-05,0.207257
3465,1031048,1,4,0.000348498,0.188493
4316,195233,4,8,0.000496713,0.334042
14724,361077,8,1,0.000142459,0.171368
51027,897374,64,32,0.00183964,0.0920591
9132,481341,1,8,0.000702597,0.193462
20602,200961,16,4,0.000254304,0.14816
17407,261034,4,2,0.000242521,0.16622
45955,196085,16,64,0.000696398,0.256923
42317,760852,32,8,0.00126578,0.158584
55908,112082,1,2,5.86396e-05,0.553348
54517,715166,1,64,0.00184844,0.341292
54003,336720,64,32,0.00107573,0.23117
21489,215282,64,64,0.000859254,0.211256
60398,402018,32,16,0.000851172,0.100514
19936,338780,32,16,0.000792877,0.250267
28600,71343,32,2,8.77249e-05,0.154077
4159,971308,1,64,0.00184771,0.312895
4341,83131,8,2,9.91585e-05,0.191063
47654,159952,16,1,6.22955e-05,0.190647
40453,70314,16,64,0.000346502,0.225244
51919,334188,64,4,0.000531168,0.0853658
24665,313654,64,8,0.000805589,0.170416
62690,198356,16,8,0.000431093,0.255224
46384,237137,64,16,0.000718917,0.229679
49197,160251,4,32,0.000682945,0.29847
23514,129682,32,64,0.000525645,0.284659
21937,274152,4,16,0.000719767,0.306301
9134,66549,32,8,0.000214592,0.304104
20888,134514,1,4,0.000174381,0.371993
62780,86824,4,4,0.000170669,0.324192
64672,299741,4,64,0.000970705,0.408734
12113,635132,64,1,0.0004716,0.0614039
29937,90961,16,8,0.000229527,0.264703
33867,242859,64,4,0.000387912,0.129467
59392,251085,1,16,0.000859979,0.372815
41430,264966,2,4,0.000276208,0.187807
54862,155151,8,1,7.00742e-05,0.283116
63753,851915,4,8,0.00121488,0.353223
8624,83726,16,128,0.000473413,0.180971
64913,66665,16,8,0.000207161,0.373309
46680,728911,16,2,0.00056623,0.0696655
