m,n,k,avg
0,1658,3283,303,0.0994761
0,4096,1929,2741,1.2202
0,3012,1929,1116,0.377159
0,3825,4096,3012,2.58452
0,3012,2741,1929,0.901977
0,3825,32,574,0.0230108
0,2741,2199,3283,1.12973
0,3554,3012,2199,1.31717
0,303,3554,2199,0.136478
0,1116,303,4096,0.0885449
0,3554,2199,303,0.148856
0,32,3825,32,0.0103993
0,2470,303,3554,0.168386
0,845,1116,1929,0.103507
0,3554,303,2199,0.152628
0,1658,845,1387,0.114995
0,2199,574,1387,0.102834
0,574,1116,3825,0.146304
0,3012,4096,3012,2.02483
0,1387,3825,3554,1.09758
0,3825,1929,2199,0.899035
0,3554,2741,1387,0.748895
0,2741,32,845,0.0212177
0,1929,32,3012,0.0523105
0,32,303,1658,0.00380316
0,3554,4096,2741,2.1845
0,845,2470,3012,0.357494
0,1929,4096,574,0.26347
0,3283,1658,303,0.101893
0,4096,3283,3825,2.81202
0,2199,1387,2470,0.445182
0,3012,845,2470,0.376793
0,3554,32,32,0.0033842
0,1387,3012,1387,0.327458
0,574,3283,3554,0.409251
0,2199,32,3825,0.0621274
0,1387,1658,2741,0.353909
0,845,4096,845,0.169239
0,303,1658,1116,0.0371442
0,2741,4096,1929,1.18711
0,1116,2199,3554,0.506481
0,303,2470,1387,0.0703589
0,1116,1387,574,0.0525681
0,32,1387,3283,0.0343675
0,2470,2741,4096,1.55977
0,1929,2199,2199,0.517946
0,4096,2470,1116,0.653378
0,3283,3825,3283,2.30732
0,1658,4096,32,0.0452638
0,4096,1116,3012,0.826124
0,3012,1116,1387,0.262217
0,3825,3825,3283,2.60891
0,845,3825,2741,0.501767
0,3825,845,845,0.157445
0,2741,3012,3554,1.63963
0,1116,3012,303,0.0616318
0,303,3825,2470,0.169967
0,1116,32,2199,0.0174477
0,845,3825,2470,0.460646
0,32,3554,303,0.0110542
0,2470,574,3283,0.27035
0,845,1387,32,0.00868343
0,2199,3283,845,0.35388
0,1658,574,2741,0.161022
0,2199,303,1116,0.0502875
0,574,1929,4096,0.268984
0,3012,3283,2741,1.51161
0,1387,4096,574,0.189039
0,3825,1658,4096,1.44502
0,2741,845,574,0.081239
0,32,3012,3012,0.0792559
0,1929,303,3283,0.131829
0,32,32,2470,0.00338047
0,845,1658,2741,0.224057
0,1929,3283,845,0.307556
0,3283,1387,32,0.0278602
0,4096,3554,303,0.240841
0,2199,1116,3825,0.54482
0,1929,3825,1658,0.712479
0,3012,32,2199,0.040689
